simplified	traditional	pinyin	eng	freq
可	可	ke3	can/may/able to/certain(ly)/to suit/(particle used for emphasis)	723108
也	也	ye3	also/too	710259
你	你	ni3	you	705205
对	對	dui4	couple/pair/to be opposite/to oppose/to face/for/to/correct (answer)/to answer/to reply/to direct (towards sth)/right	703632
生	生	sheng1	to be born/to give birth/life/to grow	682031
能	能	neng2	can/may/capable/energy/able	665358
而	而	er2	and/as well as/but (not)/yet (not)/(shows causal relation)/(shows change of state)/(shows contrast)	649239
子	子	zi3/zi	11 p.m.-1 a.m./1st earthly branch/child/midnight/son/child/seed/egg/small thing, (noun suff.)	640640
那	那	na3/na4/nei4	how/which, that/those, that/those/(sometimes used before a measure word, especially in Beijing)	638538
得	得	de2/de/dei3	obtain/get/gain/proper/suitable/proud/contented/allow/permit/ready/finished, a sentence particle used after a verb to show effect/degree or possibility, to have to/must/ought to/to need to	630688
于	於	yu2	(surname), in/at/to/from/by/than/out of	630524
着	着	zhao1/zhao2/zhe/zhu4/zhuo2	catch/receive/suffer, part. indicates the successful result of a verb/to touch/to come in contact with/to feel/to be affected by/to catch fire/to fall asleep/to burn, -ing part. (indicates an action in progress)/part. coverb-forming after some verbs, to make known/to show/to prove/to write/book/outstanding, to wear (clothes)/to contact/to use/to apply	626326
下	下	xia4	under/second (of two parts)/next (week, etc.)/lower/below/underneath/down(wards)/to decline/to go down/latter	621185
自	自	zi4	from/self/oneself/since	611687
之	之	zhi1	(literary equivalent of 的)/(subor. part.)/him/her/it	609003
年	年	nian2	year	601887
过	過	guo4	(experienced action marker)/to cross/to go over/to pass (time)/to celebrate (a holiday)/to live/to get along/(surname)/excessively/too-	589925
发	發	fa1/fa4	to send out/to show (one's feeling)/to issue/to develop, hair	572904
后	後	hou4	empress/queen/surname, back/behind/rear/afterwards/after/later	570764
作	作	zuo4	to regard as/to take (somebody) for/to do/to make	542791
里	裏	li3	inside/internal/interior, village/within/inside, Chinese mile/neighborhood/li, a Chinese unit of length = one-half kilometer/hometown	537795
用	用	yong4	to use	535480
道	道	dao4	direction/way/method/road/path/principle/truth/reason/skill/method/Tao (of Taoism)/a measure word/to say/to speak/to talk	534695
行	行	hang2/xing2/xing4	a row/profession/professional, all right/capable/competent/OK/okay/to go/to do/to travel/temporary/to walk/to go/will do, behavior/conduct	531848
所	所	suo3	actually/place	523028
然	然	ran2	correct/right/so/thus/like this/-ly	511026
家	家	jia1	furniture/tool, -ist/-er/-ian/home/family/a person engaged in a certain art or profession	509790
种	種	zhong3/zhong4	kind/type/race/breed/seed/species (taxonomy), to plant/to cultivate	503344
事	事	shi4	matter/thing/item/work/affair	499172
成	成	cheng2/cheng4	finish/complete/accomplish/become/turn into/win/succeed/one tenth, finish/complete/accomplish/become/turn into/win/succeed/one tenth	499007
方	方	fang1	square/quadrilateral/direction/just	492763
多	多	duo1	many/much/a lot of/numerous/multi-	481689
经	經	jing1	classics/sacred book/pass through/to undergo/scripture	481338
么	麼	ma/me/yao1	(interrog. part.), (interrog. suff.), one on dice/small	477969
去	去	qu4	to go/to leave/to remove	476270
法	法	fa3	law/method/way/Buddhist teaching/Legalist/France (abbrev.)	466816
学	學	xue2	learn/study/science/-ology	464261
如	如	ru2	as (if)/such as	449036
都	都	dou1/du1	all/both (if two things are involved)/entirely (due to)each/even/already, (surname)/metropolis/capital city	439568
同	同	tong2	like/same/similar/together/alike/with	437611
现	現	xian4	appear/present/now/existing/current	433960
当	當	dang1/dang4	to be/to act as/manage/withstand/when/during/ought/should/match equally/equal/same/obstruct/just at (a time or place)/on the spot/right/just at, at or in the very same.../to pawn/suitable/adequate/fitting/proper/replace/represent	429274
没	沒	mei2/mo4	(negative prefix for verbs)/have not/not, drowned/to end/to die/to inundate	428146
动	動	dong4	to use/to act/to move/to change	426839
面	面	mian4	fade/side/surface/aspect/top/face/flour/noodles, flour/noodles	425180
起	起	qi3	to rise/to raise/to get up	424933
看	看	kan1/kan4	to look after/to take care of/to watch/to guard, it depends/think/to see/to look at	424616
定	定	ding4	to set/to fix/to determine/to decide/to order	422538
天	天	tian1	day/sky/heaven	419884
分	分	fen1/fen4	to divide/minute/(a measure word)/(a unit of length = 0.33 centimeter), part	419382
还	還	hai2/huan2/huan4	also/in addition/more/still/else/still/yet/(not) yet, (surname)/pay back/return	415855
进	進	jin4	advance/enter/to come in	412166
好	好	hao3/hao4	good/well, be fond of	411866
小	小	xiao3	small/tiny/few/young	410987
部	部	bu4	ministry/department/section/part/division/troops/board/(a measure word)/(a measure word for works of literature, films, machines, etc.)	403066
其	其	qi2	his/her/its/theirs/that/such/it (refers to sth preceding it)	403028
些	些	xie1	some/few/several/(a measure word)	400528
主	主	zhu3	to own/to host/master/lord/primary	399693
样	樣	yang4	manner/pattern/way/appearance/shape	398149
理	理	li3	reason/logic/science/inner principle or structure	398087
心	心	xin1	heart/mind	392228
她	她	ta1	she	388612
本	本	ben3	roots or stems of plants/origin/source/this/the current/root/foundation/basis/(a measure word)	388118
前	前	qian2	before/in front/ago/former/previous/earlier/front	381431
开	開	kai1	open/operate (vehicle)/start	377012
但	但	dan4	but/yet/however/only/merely/still	374459
因	因	yin1	cause/reason/because	371612
只	只	qi2/zhi1/zhi3	earth-spirit/peace, (a measure word, for birds and some animals, etc.)/single/only, M for one of a pair, only/merely/just/but, but/only	370059
从	從	cong1/cong2/zong4	lax/yielding/unhurried, from/obey/observe/follow, second cousin	369958
想	想	xiang3	to think/to believe/to suppose/to wish/to want/to miss	368819
实	實	shi2	real/true/honest/really/solid	368494
日	日	ri4	Japan/day/sun/date/day of the month	363763
军	軍	jun1	army/military/arms	362526
者	者	zhe3	-ist, -er (person)/person (who does sth)	360974
意	意	yi4	idea/meaning/wish/desire/(abbr.) Italy	360232
无	無	wu2	-less/not to have/no/none/not/to lack/un-	359265
力	力	li4	power/force/strength	359136
它	它	ta1	it	346173
与	與	yu2/yu3/yu4	(interrog. part.), and/to give/together with, take part in	345532
长	長	chang2/zhang3	length/long/forever/always/constantly, chief/head/elder/to grow/to develop	342148
把	把	ba3/ba4	(a measure word)/(marker for direct-object)/to hold/to contain/to grasp/to take hold of, handle	340730
机	機	ji1	machine/opportunity/secret	339823
十	十	shi2	ten/10	338954
民	民	min2	the people/nationality/citizen	335796
第	第	di4	"(prefix before a number, for ordering numbers, e.g. ""first"", ""number two"", etc)"	325780
公	公	gong1	just/honorable (designation)/public/common	318626
此	此	ci3	this/these	318534
已	已	yi3	already/to stop/then/afterwards	318143
工	工	gong1	work/worker/skill/profession/trade/craft/labor	317532
使	使	shi3	to make/to cause/to enable/to use/to employ/messenger	316273
情	情	qing2	feeling/emotion/passion/situation	312900
明	明	ming2	clear/bright/to understand/next/the Ming dynasty	309873
性	性	xing4	sex/nature/surname/suffix corresponding to -ness or -ity	309844
知	知	zhi1	to know/to be aware	306384
全	全	quan2	all/whole/entire/every/complete	305248
三	三	san1	three/3	304272
又	又	you4	(once) again/also/both... and.../again	302933
关	關	guan1	(surname)/mountain pass/to close/to shut/to turn off/to concern/to involve	302473
点	點	dian3	(downwards-right convex character stroke)/o'clock/(a measure word)/point/dot/(decimal) point)	300800
正	正	zheng1/zheng4	Chinese 1st month of year, just (right)/main/upright/straight/correct/principle	296810
业	業	ye4	business/occupation/study	296169
外	外	wai4	outside/in addition/foreign/external	295645
将	將	jiang1/jiang4	"(will, shall, ""future tense"")/ready/prepared/to get/to use, a general"	295586
两	兩	liang3	both/two/ounce/some/a few/tael	294600
高	高	gao1	high/tall	293542
间	間	jian1/jian4	between/among/space/(measure word), interstice/separate	292227
由	由	you2	follow/from/it is for...to/reason/cause/because of/due to/by/to/to leave it (to sb)	292199
问	問	wen4	to ask	288237
很	很	hen3	very/extremely	284252
最	最	zui4	(the) most/-est	283689
重	重	chong2/zhong4	to double/to repeat/repetition/iteration/again/a layer, heavy/serious	282843
并	並	bing4	and/furthermore/(not) at all/simultaneously/also/together with/to combine/to join/to merge, amalgamate/combine, and/also/together with	281616
物	物	wu4	thing/object/matter	281146
手	手	shou3	hand/convenient	280442
应	應	ying1/ying4	ought, (surname)/to answer/to respond	280384
战	戰	zhan4	to fight/fight/war/battle	278776
向	向	xiang4	direction/part/side/towards/to/guide/opposite to, guide/opposite to	276986
头	頭	tou2/tou	head, suff. for nouns	274911
文	文	wen2	language/culture/writing/formal/literary	274222
体	體	ti3	body/form/style/system	273792
政	政	zheng4	political/politics/government	269878
美	美	mei3	America/beautiful	269452
相	相	xiang1/xiang4	each other/one another/mutually, appearance/portrait/picture	269125
见	見	jian4/xian4	to see/to meet/to appear (to be sth)/to interview, appear	269080
被	被	bei4	by (marker for passive-voice sentences or clauses)/quilt/blanket/to cover/to wear	268905
利	利	li4	advantage/benefit/profit/sharp	268813
什	什	shen2/shi2	what, tenth (used in fractions)	267869
