simplified	traditional	pinyin	eng	freq
帮	幫	bang1	to assist/to support/to help/group/gang/party	47065
宣	宣	xuan1	to declare (publicly)/to announce	47041
佛	佛	fo2/fu2	Buddha/Buddhism, seemingly	47038
岁	歲	sui4	year/years old/(a measure word)	46835
航	航	hang2	boat/ship/vessel/craft/to navigate/to sail	46789
优	優	you1	excellent/superior	46613
怪	怪	guai4	queer/to blame	46600
香	香	xiang1	fragrant/incense/(of food) savory/appetizing/sweet/scented/popular	46525
著	著	zhu4/zhe		46239
田	田	tian2	(surname)/field/farm	45886
铁	鐵	tie3	iron	45798
控	控	kong4	to accuse/to charge/to control/to sue	45664
税	稅	shui4	taxes/duties	45615
左	左	zuo3	left	45568
右	右	you4	right (-hand)	45561
份	份	fen4	(a measure word for gifts, copies of a newspaper)/copy (of newspaper, magazine, etc.)/share/portion/part/(a measure word)	45408
穿	穿	chuan1	to bore through/pierce/perforate/penetrate/pass through/to dress/to wear/to put on/to thread	45314
艺	藝	yi4	skill/art	45218
背	背	bei1/bei4	carry on one's back, to be burdened/to carry on the back or shoulder, learn by heart/the back of the body	45181
阵	陣	zhen4	disposition of troops/short period/wave/spate/burst/spell	44899
草	草	cao3	grass/straw/draft (of a document)/careless/rough/manuscript/hasty	44612
脚	腳	jiao3/jue2	a kick/foot/role, role	44529
概	概	gai4	general/approximate	44501
恶	惡	e3/e4/wu4	nauseated, evil, to hate/to loathe	44493
块	塊	kuai1/kuai4	piece/chunk/lump/(measure word for chunks, lumps), yuan (unit of currency)/fast (of a watch)/swift/rapid/happy/joyful/soon/quick/(a measure word, for cloth, cake, soap)	44475
顿	頓	dun4	a time/jerk/stop/meal/bout/spell/(measure for beating)	44425
敢	敢	gan3	dare	44338
守	守	shou3	to guard	44264
酒	酒	jiu3	wine/liquor/spirits	44069
岛	島	dao3	island	44056
托	託	tuo1	to hold in one's hand/to entrust/to support in one's palm, entrust	44052
央	央	yang1	beg/center	44052
户	戶	hu4	a household/door/family	43810
烈	烈	lie4	ardent/intense/split/crack/rend	43751
洋	洋	yang2	foreign/ocean	43692
哥	哥	ge1	elder brother	43620
索	索	suo3	to search/to demand/to ask/to exact/large rope/isolated	43365
胡	胡	hu2	(surname)/beard/what why how, beard/mustache	43199
款	款	kuan3	section/paragraph/funds	43087
靠	靠	kao4	depend upon/lean on/near/by/against/to support	42988
评	評	ping2	to discuss/to comment/to criticize/to judge/to choose (by public appraisal)	42966
版	版	ban3	a register/a block of printing/an edition/version/page	42853
宝	寶	bao3	a jewel or gem/a treasure/precious	42836
座	座	zuo4	seat/base/stand/measure word for large, solid things	42814
释	釋	shi4	explain/to release	42749
景	景	jing3	bright/circumstance/scenery	42738
顾	顧	gu4	look after/take into consideration/to attend to	42735
弟	弟	di4	younger brother	42706
登	登	deng1	scale/climb/ascend/mount/go up/register/note/to publish/to issue/to record	42687
货	貨	huo4	goods/money/commodity	42602
互	互	hu4	mutual	42579
付	付	fu4	pay	42527
伯	伯	bo2	father's elder brother/senior/paternal elder uncle/eldest of brothers/respectful form of address	42513
慢	慢	man4	slow	42506
欧	歐	ou1	Europe	42504
换	換	huan4	change/exchange	42292
闻	聞	wen2	(surname)/hear/sniff at	42253
危	危	wei1	danger/to endanger	42080
忙	忙	mang2	busy	42026
核	核	he2	nuclear/atomic/stone (of fruit)	41944
暗	暗	an4	dark/gloomy/hidden/secret, to shut the door/unilluminated	41881
姐	姐	jie3	older sister	41762
介	介	jie4	introduce/lie between/between	41749
坏	壞	huai4	bad/spoiled, bad	41723
讨	討	tao3	ask for/send punitive expedition/to demand/to marry	41717
丽	麗	li2/li4	Korea, beautiful	41363
良	良	liang2	good/very/very much	41167
序	序	xu4	order/sequence/preface	41129
升	升	sheng1	to raise/to hoist/to promote/pint, ascend/peaceful, promoted	41105
监	監	jian1/jian4	hard/strong/solid/firm/to supervise/to inspect/jail/prison, supervisor	41082
临	臨	lin2	to face/to overlook/to arrive/to be (just) about to/just before	41068
亮	亮	liang4	light/bright	41016
露	露	lu4/lou4	to show/to reveal/to expos/dew	40954
永	永	yong3	forever/always/perpetual (ly)	40936
呼	呼	hu1	to call/to cry/to shout/to breath out/to exhale	40709
味	味	wei4	taste	40704
野	野	ye3	field/plain/open space/limit/boundary/rude/wild	40681
架	架	jia4	to support/frame/rack/framework/measure word for planes, large vehicles, radios, etc.	40619
域	域	yu4	field/region/area/domain (taxonomy)	40597
沙	沙	sha1	granule/hoarse/raspy/sand/powder	40573
掉	掉	diao4	to drop/to fall	40541
括	括	kuo4	enclose/include	40519
舰	艦	jian4	warship	40500
鱼	魚	yu2	fish	40452
杂	雜	za2	mixed/miscellaneous/various/to mix	40265
误	誤	wu4	mistake/error/to miss/to harm/to delay/to neglect	40196
湾	灣	wan1	bay/gulf	40101
吉	吉	ji2	lucky	40081
减	減	jian3	to lower/to decrease/to reduce/to subtract/to diminish	40011
编	編	bian1	weave/plait/organize/group/arrange/edit/compile/write/compose/fabricate	39879
楚	楚	chu3	(surname)/ancient place name/distinct/clear/orderly/pain/suffering/(a surname)	39846
肯	肯	ken3	to agree/to consent/to be ready (to do sth)/willing	39813
测	測	ce4	side/to lean/to survey/to measure/conjecture	39752
败	敗	bai4	be defeated/to defeat/loss	39627
屋	屋	wu1	house/room	39588
跑	跑	pao3	to run/to escape	39497
梦	夢	meng4	to dream	39486
散	散	san3/san4	leisurely/loosen/powdered medicine/to scatter/to come loose, adjourn/scatter	39336
温	溫	wen1	(luke)warm/to review	39312
困	困	kun3/kun4	a bunch/tie together, distress/sleepy/doze off, sleepy/doze off	39172
剑	劍	jian4	(double-edged) sword	39020
渐	漸	jian1/jian4	imbue, gradual/gradually	39010
封	封	feng1	to confer/to grant/to seal/(a measure word)	38954
救	救	jiu4	to save/to assist/to rescue	38824
贵	貴	gui4	expensive/noble/your (name)/precious	38668
枪	槍	qiang1	gun/firearm/rifle/spear, rifle/spear	38569
缺	缺	que1	lack/scarce/vacant post/to run short of	38506
楼	樓	lou2	house with more than 1 story/storied building/floor	38463
县	縣	xian4	a district/county	38407
尚	尚	shang4	still/yet/to value/to esteem	38376
毫	毫	hao2	hair/drawing brush/(in the) least/one thousandth	38374
移	移	yi2	to move/to shift/to change/to alter/to remove	38349
娘	娘	niang2	mother/young lady, mother/troubled	38274
朋	朋	peng2	friend	38271
画	畫	hua4	draw/picture/painting	38263
班	班	ban1	team/class/rank/squad/a work shift/a measure word/(a surname)	38130
智	智	zhi4	wisdom/knowledge	38064
亦	亦	yi4	also	37960
耳	耳	er3	ear	37939
恩	恩	en1	kind act (from above)	37898
短	短	duan3	lack/short	37834
掌	掌	zhang3	in charge of/palm of hand	37729
恐	恐	kong3	afraid/frightened/to fear	37676
遗	遺	yi2	to lose/to leave behind	37619
固	固	gu4	hard/strong/solid/sure	37582
席	席	xi2	banquet/woven mat/seat/place, woven mat	37579
松	松	song1	loose/pine, loose	37563
秘	祕	mi4	secret	37560
谢	謝	xie4	(surname)/to thank	37550
鲁	魯	lu3	crass/place name	37474
遇	遇	yu4	meet with	37343
康	康	kang1	peaceful/spongy (of radishes)	37302
虑	慮	lu:4/lv4	anxiety	37208
幸	幸	xing4	lucky, fortunate/lucky	37198
均	均	jun1	equal/even/all/uniform	36842
销	銷	xiao1	to melt/to do away with/to sell	36821
钟	鍾	zhong1	clock/time as measured in hours and minutes/bell	36770
诗	詩	shi1	poem/poetry/verse	36762
藏	藏	cang2/zang4	to hide away/to conceal/to harbor/store/accumulate, storehouse/depository/Buddhist or Taoist scripture/Zang/Tibet	36704
赶	趕	gan3	to catch up/to overtake/to hurry/to rush/to drive away	36599
剧	劇	ju4	drama/play/show/severe	36585
票	票	piao4	bank note/ticket	36459
损	損	sun3	to damage/injure/to lose/to harm	36444
忽	忽	hu1	suddenly	36378
巨	巨	ju4	very large/huge/tremendous/gigantic	36351
炮	炮	pao4	cannon/gun/firecracker, gun/cannon	36315
旧	舊	jiu4	old (opposite of new)/former	36291
端	端	duan1	end/extremity/item/port/to hold sth. level with both hands/to carry/regular	36233
探	探	tan4	to explore/to search out/to scout/to visit	36230
湖	湖	hu2	lake	36112
录	錄	lu4	to record/to hit/to copy	36080
叶	葉	ye4	(surname)/leaf/page	36032
春	春	chun1	spring (time)/gay/joyful/youthful/love/lust/life	36027
乡	鄉	xiang1	country/village	36025
附	附	fu4	to add/to attach/to be close to/to be attached	35955
吸	吸	xi1	to breathe/to suck in/to absorb/to inhale	35891
予	予	yu2/yu3	I, to give	35757
礼	禮	li3	gift/propriety/rite	35612
港	港	gang3	harbor/Hong Kong (abbr.)	35577
雨	雨	yu3	rain	35370
呀	呀	ya/ya1	(final part.)	35343
板	板	ban3	board/plank/plate/slab, boss	35332
庭	庭	ting2	court/courtyard	35205
妇	婦	fu4	woman	35188
归	歸	gui1	to go back/to return	35153
睛	睛	jing1	eye	35082
饭	飯	fan4	food/cuisine/cooked rice/meal	35076
额	額	e2	volume/amount/quantity/forehead/quota	34823
含	含	han2	to keep/to contain	34759
顺	順	shun4	to obey/to follow/to arrange/to make reasonable/along/favorable	34708
输	輸	shu1	to transport/to lose	34688
摇	搖	yao2	shake/to rock	34635
招	招	zhao1	provoke/to recruit	34625
婚	婚	hun1	to marry/marriage/wedding/to take a wife	34610
脱	脫	tuo1	to shed/to take off/to escape/to get away from	34548
补	補	bu3	to repair/to patch/to mend/to make up for/to fill (a vacancy)/to supplement	34542
谓	謂	wei4	speak of	34527
督	督	du1	supervise	34523
毒	毒	du2	poison/narcotics	34517
油	油	you2	oil/sly	34469
疗	療	liao2	to treat/to cure	34467
旅	旅	lu:3/lv3	trip/travel	34384
泽	澤	ze2	beneficence/marsh	34311
材	材	cai2	material	34237
灭	滅	mie4	extinguish	34135
逐	逐	zhu2	to pursue/to chase/individually/one by one	34128
莫	莫	mo4	do not/there is none who	34097
笔	筆	bi3	pen/pencil/writing brush/to write or compose/the strokes of Chinese characters	34057
亡	亡	wang2	to die/to perish	33917
鲜	鮮	xian1/xian3	fresh, few/rare	33720
词	詞	ci2	works/phrases/classical Chinese poem/word/diction	33669
圣	聖	sheng4	holy/sacred/saint/sage	33620
择	擇	ze2/zhai2	to select/to choose/to pick, pick over	33615
寻	尋	xun2	to search/to look for/to seek	33469
厂	廠	chang3	cliff/slope/factory/yard/depot/workhouse/works/(industrial) plant	33468
睡	睡	shui4	to sleep	33420
博	博	bo2	extensive/ample/rich/obtain/aim/to win/to get/rich/plentiful/to gamble	33366
勒	勒	le4/lei1	rein in, strangle	33228
烟	煙	yan1	cigarette/tobacco/smoke	33137
授	授	shou4	to teach/to instruct/to award/to give	33017
诺	諾	nuo4	to promise/to yes	32991
伦	倫	lun2	human relationship	32822
岸	岸	an4	bank/shore/beach/coast	32807
奥	奧	ao4	obscure/mysterious	32761
唐	唐	tang2	Tang dynasty (618-907)	32757
卖	賣	mai4	to sell	32694
俄	俄	e2	suddenly/very soon/Russian	32638
炸	炸	zha2/zha4	fry, explode	32540
载	載	zai3/zai4	year, to carry/to convey/to load/to hold/and/also/as well as/simultaneously	32456
洛	洛	luo4	(surname)/name of a river	32431
健	健	jian4	healthy	32399
堂	堂	tang2	(main) hall/large room	32367
旁	旁	pang2	beside/one side/other/side/self	32268
宫	宮	gong1	palace	32179
喝	喝	he1/he4	my goodness/to drink, shout applause	32112
借	借	jie4	to lend/to borrow/excuse/pretext/by means of	32027
君	君	jun1	monarch/lord/gentleman/ruler	31960
禁	禁	jin1/jin4	endure, to prohibit/to forbid	31951
阴	陰	yin1	(of weather) overcast/Yin/feminine/moon/cloudy/negative (electric.)/shady	31936
园	園	yuan2	garden	31925
谋	謀	mou2	to plan/seek/scheme	31910
宋	宋	song4	(surname)/name of a dynasty	31748
避	避	bi4	avoid/shun/flee/escape/leave/to keep away/to leave/to hide	31731
抓	抓	zhua1	to grab/to catch/to arrest/to snatch	31675
荣	榮	rong2	glory/honored	31662
姑	姑	gu1	paternal aunt	31647
孙	孫	sun1	grandson	31506
逃	逃	tao2	to escape/to run away/to flee	31468
牙	牙	ya2	tooth/ivory	31466
束	束	shu4	bunch/(a measure word)/to bind/to control	31370
跳	跳	tiao4	jump/hop/skip (a grade)/to leap/to bounce/to beat	31324
顶	頂	ding3	"go against/most/peak/top/to replace/to substitute/a measure word (use with ""hat"")"	31318
玉	玉	yu4	jade	31279
镇	鎮	zhen4	composed/small town/to suppress/to press down/to post	31170
雪	雪	xue3	snow	30997
午	午	wu3	11 a.m.-1 p.m./7th earthly branch/noon	30985
练	練	lian4	to practice/to train/to perfect (one's skill)/to drill	30963
迫	迫	po4	to force/to compel/pressing/urgent	30930
爷	爺	ye2	grandpa/etc./old gentleman	30930
篇	篇	pian1	sheet/piece of writing/(a measure word)/chapter/article	30894
肉	肉	rou4	meat/flesh	30820
嘴	嘴	zui3	mouth	30765
馆	館	guan3	house/establishment	30564
遍	遍	bian4	a time/everywhere/turn/all over/one time	30545
凡	凡	fan2	ordinary/every/all/whatever/worldly	30533
础	礎	chu3	foundation/base	30477
洞	洞	dong4	cave/hole	30399
卷	卷	juan3/juan4	to roll (up)/to sweep up/to carry on, coil/to roll, chapter/examination paper	30343
坦	坦	tan3	flat/open-hearted/level/smooth	30341
牛	牛	niu2	ox/cow/bull	30047
宁	寧	ning2	peaceful/rather	30001
纸	紙	zhi3	paper	30001
诸	諸	zhu1	(surname)/all/many/various	29957
训	訓	xun4	example/pattern/to teach/to train/instruction	29911
私	私	si1	personal/private/selfish	29700
庄	莊	zhuang1	farm/village	29679
祖	祖	zu3	ancestor/forefather/grandparents	29644
丝	絲	si1	silk/thread/trace	29585
翻	翻	fan1	flit about/translate/turn over	29568
暴	暴	bao4	sudden/violent/cruel/to show or expose/to injure	29566
森	森	sen1	forest	29533
塔	塔	ta3	pagoda/tower	29454
默	默	mo4	silent/write from memory	29432
握	握	wo4	shake hands/to hold/to grasp	29418
戏	戲	xi4	trick/drama/play/show	29402
隐	隱	yin3	secret/hidden/concealed	29294
熟	熟	shu2	familiar/skilled/ripe/done/ripe/cooked	29271
骨	骨	gu3	bone	29180
访	訪	fang3	inquire/seek/visit	29134
弱	弱	ruo4	weak/feeble/young/inferior	29129
蒙	蒙	meng1/meng2/meng3	deceive/cheat/hoodwink, drizzle/mist, dim sighted/ignorant, Mongolia/cover	29019
歌	歌	ge1/ge1ge	song	28957
店	店	dian4	inn/shop/store	28926
鬼	鬼	gui3	ghost/sly/crafty	28916
软	軟	ruan3	soft/flexible	28885
典	典	dian3	canon/dictionary	28860
欲	欲	yu4	desire/wish, desire/longing/appetite/wish	28856
萨	薩	sa4	(surname)/Bodhisattva	28804
伙	夥	huo3	assistant/furniture/partner	28724
遭	遭	zao1	a time/incident/meet by chance/turn	28642
盘	盤	pan2	big/wooden tray, dish/tray/to build/to check/to examine/to transfer/(a measure word used for dishes of food or coils of wire)/to coil	28582
爸	爸	ba4	father/dad/pa/papa	28526
扩	擴	kuo4	enlarge	28331
盖	蓋	gai4/ge3	lid/top/cover/canopy/to build, (surname)	28310
弄	弄	long4/nong4	lane/alley, to do/to manage/to handle/to play with/to fool with/to mess with/to fix/to toy with	28205
雄	雄	xiong2	heroic/male	28184
稳	穩	wen3	settled/steady/stable	28031
忘	忘	wang4	to forget/to overlook/to neglect	27961
亿	億	yi4	a hundred million/calculate	27897
刺	刺	ci4	thorn/sting/prick/pierce/stab/thrust/assassinate/murder	27891
拥	擁	yong1	(v) gather round/rush in/crowd/throng/to hold/crowded/to support	27833
徒	徒	tu2	apprentice/disciple	27812
姆	姆	mu3	governess	27808
杨	楊	yang2	(surname)/poplar	27561
齐	齊	qi2	(surname)/even/to make even	27480
赛	賽	sai4	to compete/competition/match	27472
趣	趣	qu4	interesting/to interest	27434
曲	曲	qu1/qu3	bent/crooked/wrong, tune/song	27401
刀	刀	dao1	knife	27292
床	牀	chuang2	bed/couch/(a measure word)	27283
迎	迎	ying2	to welcome	27228
冰	冰	bing1	ice	27201
虚	虛	xu1	devoid of content/void/false/empty/vain	27076
玩	玩	wan2/wan4	curios/antiques/to play/to amuse oneself, curios/antiques	27043
析	析	xi1	to separate/to divide/to analyze	27019
窗	窗	chuang1	shutter/window	26978
醒	醒	xing3	to wake up/to be awake	26899
妻	妻	qi1/qi4	wife, to marry off (a daughter)	26847
透	透	tou4	to penetrate/thorough/penetrating/to pass through/to pierce	26836
购	購	gou4	to buy/to purchase	26803
替	替	ti4	to substitute for/to take the place of/to replace/for/on behalf of/to stand in for	26687
塞	塞	sai1/sai4/se4	stop up/to squeeze in/to stuff/Serb (abbr.)/Serbian, strategic pass, piston/unenlightened	26590
努	努	nu3	to exert/to strive	26564
休	休	xiu1	to rest	26539
虎	虎	hu3	tiger	26514
扬	揚	yang2	hurl/to raise/to scatter	26509
途	途	tu2	way/route/road	26485
侵	侵	qin1	to invade/to infringe/to approach	26466
刑	刑	xing2	punishment	26453
绿	綠	lu:4/lv4	green/chlorine	26414
兄	兄	xiong1	elder brother	26386
迅	迅	xun4	rapid	26321
套	套	tao4	to cover/covering/case/cover/(a measure word, a set of something)/sheath	26301
贸	貿	mao4	commerce/trade	26198
毕	畢	bi4	the whole of/to finish/to complete/complete/full/finished	26148
唯	唯	wei2/wei3	-ism/only/alone, yes	26041
谷	谷	gu3/yu4	grain/corn, valley, (surname)	26005
轮	輪	lun2	wheel/gear/(by) turn/rotate	25958
库	庫	ku4	warehouse/storehouse	25924
迹	跡	ji1/ji4	footprint/mark/trace/vestige/sign/indication, footprint/trace	25920
尤	尤	you2	outstanding/particularly/especially	25908
竞	競	jing4	to compete/to contend/to struggle	25897
街	街	jie1	street	25866
促	促	cu4	to hurry/to rush/to hasten/near/to promote	25792
延	延	yan2	to prolong/to extend/to delay	25768
震	震	zhen4	shake/shock/sign in trigram	25746
弃	棄	qi4	abandon/relinquish/to discard/to throw away	25730
甲	甲	jia3	"A (in a sequence of examples involving ""A"", ""B"", ""C"", etc.)/1st heavenly stem/1st in order/armor"	25620
伟	偉	wei3	big/large/great	25591
麻	麻	ma2	(to have) pins and needles/tingling/hemp/numb/to bother	25584
川	川	chuan1	river/creek/plain/an area of level country	25575
申	申	shen1	(surname)/3-5 p.m./9th earthly branch/extend/to state/to explain	25531
缓	緩	huan3	slow/sluggish/gradual/to postpone	25455
潜	潛	qian2	hidden/latent/secret/to hide/to conceal/secret/hidden/to submerge	25452
闪	閃	shan3	flash/lightning	25427
售	售	shou4	to sell	25405
灯	燈	deng1	lamp/light	25401
针	針	zhen1	injection/needle/pin, needle	25384
哲	哲	zhe2	philosophy/wise	25353
络	絡	lao4/luo4	small net, net-like	25256
抵	抵	di3	hold up/on the whole/push against/to support/to resist/to reach/to arrive/mortgage	25228
朱	朱	zhu1	(surname)/vermilion, vermilion	25195
埃	埃	ai1	dirt/dust/angstrom	25101
抱	抱	bao4	to hold/to carry (in one's arms)/to hug or embrace/surround/cherish	25069
鼓	鼓	gu3	convex/drum/to rouse/to beat	25016
植	植	zhi2	to plant	24999
纯	純	chun2	pure/simple/unmixed/genuine	24890
夏	夏	xia4	summer/Xia (proper name)	24888
忍	忍	ren3	to beat/to endure/to tolerate	24862
页	頁	ye4	page/leaf	24861
杰	傑	jie2	hero/heroic	24796
筑	築	zhu2/zhu4	build/five-string lute	24780
折	折	she2/zhe2	broken (as of rope, stick), tenth (in price)/to break/to fold/to turn	24737
郑	鄭	zheng4	(surname)	24716
贝	貝	bei4	cowries/shell/valuables/shellfish	24675
尊	尊	zun1	to honor	24662
吴	吳	wu2	(surname)/province of Jiangsu	24632
秀	秀	xiu4	handsome/elegant	24620
混	混	hun2/hun4	confused/dirty/mix, to mix/to get along/thoughtless	24605
臣	臣	chen2	statesman/vassal/courtier/minister/official	24553
雅	雅	ya3	elegant	24527
振	振	zhen4	rouse	24469
染	染	ran3	to catch (a disease)/dye	24444
盛	盛	cheng2/sheng4	to hold/contain/to ladle/pick up with a utensil, (surname)/flourishing	24387
怒	怒	nu4	indignant	24374
舞	舞	wu3	to dance/to wield/to brandish	24360
圆	圓	yuan2	circle/round/circular/spherical/(of the moon) full/unit of Chinese currency (Yuan)/tactful/to justify	24267
搞	搞	gao3	to do/to make/to go in for/to set up/to get hold of/to take care of	24265
狂	狂	kuang2	conceited/mad	24259
措	措	cuo4	put in order/arrange/administer/execute/take action on	24172
姓	姓	xing4	surname/family name/name	24142
残	殘	can2	destroy/spoil/ruin/injure/cruel/oppressive/savage/incomplete/disabled	24030
秋	秋	qiu1	autumn/fall/harvest time/a swing, a swing	24030
培	培	pei2	to cultivate/to earth up	24009
迷	迷	mi2	bewilder/crazy about/fan/enthusiast/lost/confused	23959
诚	誠	cheng2	honest/sincere/true	23947
宽	寬	kuan1	lenient/wide/broad	23918
宇	宇	yu3	room/universe	23891
猛	猛	meng3	ferocious/suddenly/fierce/violent/abrupt	23862
摆	擺	bai3	pendulum/to place/to display/to swing/to oscillate/to show/to move/to exhibit	23853
梅	梅	mei2	plum flower	23824
毁	毀	hui3	to destroy/to damage/to ruin, blaze/destroy by fire, defame/to slander	23773
伸	伸	shen1	to stretch/to extend	23732
摩	摩	mo2	rub	23645
盟	盟	meng2	oath/pledge/union/to ally	23581
末	末	mo4	end/final stage/latter part	23526
乃	乃	nai3	to be/thus/so/therefore/then/only/thereupon	23520
悲	悲	bei1	sad/sadness/sorrow/grief	23500
拍	拍	pai1	to clap/to pat/to beat/to hit/to slap/to take (a picture)	23483
丁	丁	ding1	(surname)/4th heavenly stem/a Chinese surname	23479
赵	趙	zhao4	(surname)	23428
硬	硬	ying4	hard/stiff/strong/firm	23364
麦	麥	mai4	(surname)/wheat/barley/oats	23271
蒋	蔣	jiang3	(surname)	23237
操	操	cao1	to hold/to drill/to exercise/to act/to do/to take in hand/to keep/to manage	23193
耶	耶	ye1	(final part.)/(phonetic)	23175
阻	阻	zu3	to hinder/to block/to obstruct	23151
订	訂	ding4	to agree/to conclude/to draw up/to subscribe to (a newspaper, etc.)/to order	22991
彩	彩	cai3	(bright) color/variety/applause/applaud/(lottery) prize, colored/variegated	22982
抽	抽	chou1	to draw out/to smoke (cigarettes)/to pump	22937
赞	贊	zan4	to praise, to patronize/to support/to praise	22909
魔	魔	mo2	devil	22835
纷	紛	fen1	numerous/confused/disorderly	22820
沿	沿	yan2/yan4	along, riverside (with -r)	22781
喊	喊	han3	call/cry/to shout	22779
违	違	wei2	to disobey/to violate/to separate/to go against	22751
妹	妹	mei4	younger sister	22723
浪	浪	lang4	wave/breaker/unrestrained/dissipated	22639
汇	匯	hui4	remit/to converge (of rivers)/to exchange, class/collection	22608
币	幣	bi4	money/coins/currency	22592
丰	豐	feng1	buxom/good-looking/appearance and carriage of a person, (surname)/abundant/plentiful/great	22439
蓝	藍	la/lan2	kohlrabi, blue	22437
殊	殊	shu1	unique	22407
献	獻	xian4	to offer	22396
桌	桌	zhuo1	table	22336
啦	啦	la1/la	(onomat.)/(phonetic), (an auxiliary word performing the grammatical functions of mood)/fusion of le + a	22263
瓦	瓦	wa3	tile	22229
莱	萊	lai2	Chenopodium album	22187
援	援	yuan2	to help/to assist/to aid	22180
译	譯	yi4	to translate/to interpret	22170
夺	奪	duo2	rob/snatch	22148
汽	汽	qi4	steam/vapor	22098
烧	燒	shao1	to burn/to cook/to stew/to bake/to roast/fever	22078
距	距	ju4	at a distance of/distance/to be apart	21970
裁	裁	cai2	cut out (as a dress)/cut/trim/reduce/diminish/decision/judgment	21918
偏	偏	pian1	one-sided/to lean/to slant/prejudiced/inclined to one side	21877
符	符	fu2	mark/sign/talisman/to seal/to correspond (to)/tally/symbol/written charm/to coincide	21862
勇	勇	yong3	brave	21819
触	觸	chu4	knock against/touch/to feel	21719
课	課	ke4	subject/class/lesson	21705
敬	敬	jing4	to respect/to venerate/to salute/to offer	21646
哭	哭	ku1	to cry/to weep	21444
懂	懂	dong3	to understand/to know	21117
墙	牆	qiang2	wall	21101
袭	襲	xi2	inherit/raid/suit of clothes	21098
召	召	shao4/zhao4	(surname)/name of an ancient state, to call together/to summon/to convene	21098
罚	罰	fa2	to punish/to penalize	21011
侠	俠	xia2	heroic	20999
厅	廳	ting1	(reception) hall/office	20989
拜	拜	bai4	to pay respect/worship/visit/salute	20978
巧	巧	qiao3	opportunely/coincidentally/as it happens/skillful/timely	20964
侧	側	ce4/zhai1	the side/to incline towards/to lean/inclined/lateral/side, lean on one side	20960
韩	韓	han2	South Korea/Korean/Japan-annexed Korea	20947
冒	冒	mao4	brave/bold/to cover	20917
债	債	zhai4	debt	20902
曼	曼	man4	handsome/large/long	20897
融	融	rong2	harmonious/melt/mild	20883
惯	慣	guan4	accustomed to/used to	20880
享	享	xiang3	enjoy	20830
戴	戴	dai4	to put on/to respect/to bear/to support/wear (glasses, hat, gloves)	20826
童	童	tong2	(surname)/boy/child/children	20813
犹	猶	you2	Jew/as if/still/to scheme	20747
乘	乘	cheng2	ride/mount/make use of/take advantage of/multiply/to avail of/to ride	20731
挂	掛	gua4	hang/suspend, to hang/to put up/to suspend	20706
奖	獎	jiang3	prize/award/encouragement	20690
绍	紹	shao4	connect/to introduce	20681
厚	厚	hou4	generous/thick (for flat things)	20624
纵	縱	zong1/zong4	vertical, even if/release	20599
障	障	zhang4	to block/to hinder/to obstruct	20503
讯	訊	xun4	to question/to ask/to interrogate/rapid/speedy/fast/news/information	20488
涉	涉	she4	involve/concern/wade/to experience	20482
彻	徹	che4	pervade/penetrate/pass through/thorough/penetrating	20461
刊	刊	kan1	to print/publish	20458
丈	丈	zhang4	ten feet	20372
爆	爆	bao4	to crack/to explode or burst	20340
乌	烏	wu1	a crow/black	20291
役	役	yi4	service	20254
描	描	miao2	depict/to trace (a drawing)/to copy/to touch up	20247
洗	洗	xi3	to wash/to bathe	20229
玛	瑪	ma3	agate/cornelian	20207
患	患	huan4	misfortune/suffer (from illness)/trouble/danger/worry/to contract (a disease)	20203
妙	妙	miao4	clever/wonderful	20165
镜	鏡	jing4	mirror	20100
唱	唱	chang4	sing/to call loudly/to chant	20085
烦	煩	fan2	feel vexed/to bother	20076
签	籤	qian1	sign one's name, a note/a stick/sign one's name	20057
仙	仙	xian1	immortal	20051
彼	彼	bi3	that/those/(one) another)	20021
弗	弗	fu2	not	19905
症	症	zheng1/zheng4	obstruction of bowels, disease/illness	19878
仿	仿	fang3	to imitate/to copy, imitate, seemingly	19870
倾	傾	qing1	to overturn/to collapse/to lean/to tend/to incline/to pour out	19849
牌	牌	pai2	cards/game pieces/signboard/plate/tablet	19752
陷	陷	xian4	to fall/trap	19703
鸟	鳥	niao3	bird	19698
轰	轟	hong1	explosion/bang/boom/rumble/strike (by thunder or a bomb)	19670
咱	咱	za2/zan2	we (incl.), we (incl.)	19554
菜	菜	cai4	dish (type of food)/vegetables	19516
闭	閉	bi4	to close/stop up/shut/obstruct	19515
奋	奮	fen4	exert oneself	19499
庆	慶	qing4	celebrate	19487
撤	撤	che4	remove/take away/withdraw	19485
泪	淚	lei4	tears	19411
茶	茶	cha2	tea/tea plant	19404
疾	疾	ji2	sickness/disease/hate/envy	19402
缘	緣	yuan2	along/predestined affinity/reason/edge	19330
播	播	bo1	sow/scatter/spread/broadcast	19327
朗	朗	lang3	clear/bright	19288
杜	杜	du4	(surname)/fabricate/restrict/to prevent	19246
奶	奶	nai3	breast/lady/milk	19219
季	季	ji4	season/period	19211
丹	丹	dan1	red/pellet/powder/cinnabar	19171
狗	狗	gou3	dog	19093
尾	尾	wei3	tail	19076
仪	儀	yi2	apparatus/rites/appearance/present/ceremony	19064
偷	偷	tou1	to steal/to pilfer	19006
奔	奔	ben1/ben4	to hurry or rush/to run quickly/to elope, go to/towards	18989
珠	珠	zhu1	bead/pearl	18916
虫	蟲	chong2	insect/worm, an animal/an invertebrate/a worm/an insect	18909
