simplified	traditional	pinyin	eng	level
吧	吧	ba1	(modal particle indicating suggestion or surmise), ...right?, ...OK?, ...I presume.,	2
吧	吧	ba5	(modal particle indicating suggestion or surmise), ...right?, ...OK?, ...I presume.,	2
吧	吧	bia1	(modal particle indicating suggestion or surmise), ...right?, ...OK?, ...I presume.,	2
白	白	Bai2	white, snowy, pure, bright, empty, blank, plain, clear, to make clear, in vain, gratuitous, free of charge, reactionary, anti-communist, funeral, to stare coldly, to write wrong character, to state, to explain, vernacular, spoken lines in opera,	2
白	白	bai2	white, snowy, pure, bright, empty, blank, plain, clear, to make clear, in vain, gratuitous, free of charge, reactionary, anti-communist, funeral, to stare coldly, to write wrong character, to state, to explain, vernacular, spoken lines in opera,	2
百	百	Bai3	hundred, numerous, all kinds of,	2
百	百	bai3	hundred, numerous, all kinds of,	2
帮助	幫助	bang1 zhu4	assistance, aid, to help, to assist,	2
报纸	報紙	bao4 zhi3	newspaper, newsprint, CL:份,期,張|张[zhāng],	2
比	比	Bi3	"(particle used for comparison and ""-er than""), to compare, to contrast, to gesture (with hands), ratio,"	2
比	比	bi1	"(particle used for comparison and ""-er than""), to compare, to contrast, to gesture (with hands), ratio,"	2
比	比	bi3	"(particle used for comparison and ""-er than""), to compare, to contrast, to gesture (with hands), ratio,"	2
别	別	Bie2	to leave, to depart, to separate, to distinguish, to classify, other, another, do not, must not, to pin,	2
别	別	bie2	to leave, to depart, to separate, to distinguish, to classify, other, another, do not, must not, to pin,	2
别	別	bie4	to leave, to depart, to separate, to distinguish, to classify, other, another, do not, must not, to pin,	2
长	長	chang2	length, long, forever, always, constantly,	2
长	長	zhang3	length, long, forever, always, constantly,	2
长	長	chang2	length, long, forever, always, constantly,	2
长	長	zhang3	length, long, forever, always, constantly,	2
唱歌	唱歌	chang4 ge1	to sing a song,	2
出	出	chu1	to go out, to come out, to occur, to produce, to go beyond, to rise, to put forth, to happen, classifier for dramas, plays, operas etc,	2
出	出	chu1	to go out, to come out, to occur, to produce, to go beyond, to rise, to put forth, to happen, classifier for dramas, plays, operas etc,	2
穿	穿	chuan1	to bore through, to pierce, to perforate, to penetrate, to pass through, to dress, to wear, to put on, to thread,	2
船	船	chuan2	a boat, vessel, ship, CL:條|条,艘,隻|只[zhī],	2
船	船	chuan2	a boat, vessel, ship, CL:條|条,艘,隻|只[zhī],	2
次	次	ci4	next in sequence, second, the second (day, time etc), secondary, vice-, sub-, infra-, inferior quality, substandard, order, sequence, hypo- (chemistry), classifier for enumerated events: time,	2
从	從	cong2	from, via, passing through, through (a gap), past, ever (followed by negative, meaning never), (formerly pr.  and related to 縱|纵) to follow, to comply with, to obey, to join, to engage in, adopting some mode of action or attitude, follower, retainer, accessory, accomplice, related by common paternal grandfather or earlier ancestor,	2
从	從	Cong2	from, via, passing through, through (a gap), past, ever (followed by negative, meaning never), (formerly pr.  and related to 縱|纵) to follow, to comply with, to obey, to join, to engage in, adopting some mode of action or attitude, follower, retainer, accessory, accomplice, related by common paternal grandfather or earlier ancestor,	2
从	從	cong2	from, via, passing through, through (a gap), past, ever (followed by negative, meaning never), (formerly pr.  and related to 縱|纵) to follow, to comply with, to obey, to join, to engage in, adopting some mode of action or attitude, follower, retainer, accessory, accomplice, related by common paternal grandfather or earlier ancestor,	2
错	錯	Cuo4	mistake, wrong, bad, interlocking, complex, to grind, to polish, to alternate, to stagger, to miss, to let slip, to evade, to inlay with gold or silver,	2
错	錯	cuo4	mistake, wrong, bad, interlocking, complex, to grind, to polish, to alternate, to stagger, to miss, to let slip, to evade, to inlay with gold or silver,	2
打篮球	打籃球	da3 lan2 qiu2	Play basketball,	2
大家	大家	da4 jia1	everyone, influential family, great expert,	2
但是	但是	dan4 shi4	but, however,	2
到	到	dao4	to (a place), until (a time), up to, to go, to arrive,	2
得	得	de2	structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc,	2
得	得	de5	structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc,	2
