simplified	traditional	pinyin	eng	level
布	布	bu4	cloth, to declare, to announce, to spread, to make known,	5
步骤	步驟	bu4 zhou4	procedure, step,	5
部门	部門	bu4 men2	department, branch, section, division, CL:個|个[gè],	5
财产	財產	cai2 chan3	property, CL:筆|笔[bǐ],	5
踩	踩	cai3	to step on, to tread, to stamp, to press a pedal, to pedal (a bike),	5
踩	踩	cai3	to step on, to tread, to stamp, to press a pedal, to pedal (a bike),	5
采访	採訪	cai3 fang3	to interview, to gather news, to hunt for and collect, to cover,	5
采取	採取	cai3 qu3	to adopt or carry out (measures, policies, course of action), to take,	5
彩虹	彩虹	cai3 hong2	rainbow,	5
参考	參考	can1 kao3	consultation, reference, to consult, to refer,	5
参与	參與	can1 yu4	to participate (in sth),	5
餐厅	餐廳	can1 ting1	dining hall, dining room, restaurant, CL:間|间,家[jiā],	5
残疾	殘疾	can2 ji2	disabled, handicapped, deformity on a person or animal,	5
惭愧	慚愧	can2 kui4	ashamed,	5
操场	操場	cao1 chang3	playground, sports field, drill ground, CL:個|个[gè],	5
操心	操心	cao1 xin1	to worry about,	5
册	冊	ce4	book, booklet, classifier for books,	5
测验	測驗	ce4 yan4	test, to test, CL:次,個|个[gè],	5
厕所	廁所	ce4 suo3	toilet, lavatory, CL:間|间,處|处[chù],	5
曾经	曾經	ceng2 jing1	once, already, former, previously, ever, (past tense marker used before verb or clause),	5
插	插	cha1	to insert, stick in, pierce, to take part in, to interfere, to interpose,	5
插	插	cha1	to insert, stick in, pierce, to take part in, to interfere, to interpose,	5
差别	差別	cha1 bie2	difference, distinction, diversity, disparity,	5
叉子	叉子	cha1 zi5	fork, CL:把[bǎ],	5
拆	拆	chai1	to tear open, to tear down, to tear apart, to open,	5
产品	產品	chan3 pin3	goods, merchandise, product, CL:個|个[gè],	5
产生	產生	chan3 sheng1	to arise, to come into being, to come about, to give rise to, to bring into being, to bring about, to produce, to engender, to generate, to appear, appearance, emergence, generation, production, yield,	5
长途	長途	chang2 tu2	long distance,	5
常识	常識	chang2 shi2	common sense, general knowledge, CL:門|门[mén],	5
抄	抄	chao1	to make a copy, to plagiarize, to search and seize, to raid, to grab, to go off with, to take a shortcut, to make a turning move, to fold one's arms,	5
朝	朝	Chao2	imperial or royal court, government, dynasty, reign of a sovereign or emperor, court or assembly held by a sovereign or emperor, to make a pilgrimage to, facing, towards,	5
朝	朝	chao2	imperial or royal court, government, dynasty, reign of a sovereign or emperor, court or assembly held by a sovereign or emperor, to make a pilgrimage to, facing, towards,	5
朝	朝	zhao1	imperial or royal court, government, dynasty, reign of a sovereign or emperor, court or assembly held by a sovereign or emperor, to make a pilgrimage to, facing, towards,	5
朝代	朝代	chao2 dai4	dynasty, reign (of a king),	5
炒	炒	chao3	to sauté, to stir-fry, to speculate, to hype, to fire (sb),	5
吵架	吵架	chao3 jia4	to quarrel, to have a row, quarrel, CL:頓|顿[dùn],	5
