simplified	traditional	pinyin	eng	level
哎哟	哎喲	ai1 yo1	hey, ow, ouch, interjection of pain or surprise,	6
挨	挨	ai1	to suffer, to endure, to pull through (hard times), to delay, to stall, to play for time, to dawdle,	6
挨	挨	ai2	to suffer, to endure, to pull through (hard times), to delay, to stall, to play for time, to dawdle,	6
癌症	癌症	ai2 zheng4	cancer,	6
爱不释手	愛不釋手	ai4 bu4 shi4 shou3	to love sth too much to part with it (idiom); to fondle admiringly,	6
爱戴	愛戴	ai4 dai4	to love and respect, love and respect,	6
暧昧	曖昧	ai4 mei4	vague, ambiguous, equivocal, dubious,	6
安居乐业	安居樂業	an1 ju1 le4 ye4	live in peace and work happily (idiom),	6
安宁	安寧	An1 ning2	peaceful, tranquil, calm, composed, free from worry,	6
安宁	安寧	an1 ning2	peaceful, tranquil, calm, composed, free from worry,	6
安详	安詳	an1 xiang2	serene,	6
安置	安置	an1 zhi4	to find a place for, to help settle down, to arrange for, to get into bed, placement,	6
暗示	暗示	an4 shi4	to hint, to suggest, suggestion, hint,	6
案件	案件	an4 jian4	law case, legal case, judicial case, CL:宗,樁|桩,起[qǐ],	6
案例	案例	an4 li4	case (law), CL:個|个[gè],	6
按摩	按摩	an4 mo2	massage, to massage,	6
昂贵	昂貴	ang2 gui4	expensive, costly,	6
凹凸	凹凸	ao1 tu1	bumpy, uneven, slotted and tabbed joint, crenelation,	6
熬	熬	ao1	to cook on a slow fire, to extract by heating, to decoct, to endure,	6
熬	熬	ao2	to cook on a slow fire, to extract by heating, to decoct, to endure,	6
奥秘	奧祕	ao4 mi4	secret, mystery,	6
扒	扒	ba1	to hold on to, to cling to, to dig up, to rake, to push aside, to climb, to pull out, to strip off,	6
扒	扒	pa2	to hold on to, to cling to, to dig up, to rake, to push aside, to climb, to pull out, to strip off,	6
疤	疤	ba1	scar,	6
巴不得	巴不得	ba1 bu5 de5	to be eager for, to long for, to look forward to,	6
巴结	巴結	ba1 jie5	to fawn on, to curry favor with, to make up to,	6
拔苗助长	拔苗助長	ba2 miao2 zhu4 zhang3	to spoil things through excessive enthusiasm (idiom),	6
把关	把關	ba3 guan1	to guard a pass, to check on sth,	6
把手	把手	ba3 shou3	handle, grip, knob,	6
把手	把手	ba3 shou5	handle, grip, knob,	6
把戏	把戲	ba3 xi4	acrobatics, jugglery, cheap trick, game,	6
霸道	霸道	ba4 dao4	the Way of the Hegemon, abbr. of 霸王之道, despotic rule, rule by might, evil as opposed to the Way of the King 王道, overbearing, tyranny, (of liquor, medicine etc) strong, potent,	6
罢工	罷工	ba4 gong1	a strike, to go on strike,	6
掰	掰	bai1	to break with both hands,	6
百分点	百分點	bai3 fen1 dian3	percentage point,	6
摆脱	擺脫	bai3 tuo1	to break away from, to cast off (old ideas etc), to get rid of, to break away (from), to break out (of), to free oneself from, to extricate oneself,	6
拜访	拜訪	bai4 fang3	to pay a visit, to call on,	6
拜年	拜年	bai4 nian2	pay a New Year call, wish sb a Happy New Year,	6
拜托	拜託	bai4 tuo1	to request sb to do sth, please!,	6
败坏	敗壞	bai4 huai4	to ruin, to corrupt, to undermine,	6
颁布	頒布	ban1 bu4	to issue, to proclaim, to enact (laws, decrees etc),	6
颁发	頒發	ban1 fa1	to issue, to promulgate, to award,	6
斑纹	斑紋	ban1 wen2	stripe, streak,	6
版本	版本	ban3 ben3	version, edition, release,	6
半途而废	半途而廢	ban4 tu2 er2 fei4	to give up halfway (idiom); leave sth unfinished,	6
伴侣	伴侶	ban4 lu:3	companion, mate, partner,	6
伴随	伴隨	ban4 sui2	to accompany, to follow, to occur together with, concomitant,	6
扮演	扮演	ban4 yan3	to play the role of, to act,	6
绑架	綁架	bang3 jia4	to kidnap, to abduct, to hijack, a kidnapping, abduction, staking,	6
榜样	榜樣	bang3 yang4	example, model, CL:個|个[gè],	6
磅	磅	bang4	see 磅秤 scale, platform balance, pound (unit of weight, about 454 grams),	6
磅	磅	pang2	see 磅秤 scale, platform balance, pound (unit of weight, about 454 grams),	6
包庇	包庇	bao1 bi4	to shield, to harbor, to cover up,	6
包袱	包袱	bao1 fu5	cloth-wrapper, a bundle wrapped in cloth, load, weight, burden,	6
包围	包圍	bao1 wei2	to surround, to encircle, to hem in,	6
包装	包裝	bao1 zhuang1	to pack, to package, to wrap, packaging,	6
饱和	飽和	bao3 he2	saturation,	6
饱经沧桑	飽經滄桑	bao3 jing1 cang1 sang1	having lived through many changes,	6
保管	保管	bao3 guan3	to assure, to guarantee, to take care of, to safeguard, certainly, surely,	6
保密	保密	bao3 mi4	to keep sth confidential, to maintain secrecy,	6
保姆	保姆	bao3 mu3	nanny, housekeeper,	6
保守	保守	bao3 shou3	(politically) conservative, to guard, to keep,	6
保卫	保衛	bao3 wei4	to defend, to safeguard,	6
保养	保養	bao3 yang3	to take good care of (or conserve) one's health, to keep in good repair, to maintain, maintenance,	6
保障	保障	bao3 zhang4	to ensure, to guarantee, to safeguard,	6
保重	保重	bao3 zhong4	to take care of oneself,	6
抱负	抱負	bao4 fu4	aspiration, ambition,	6
抱怨	抱怨	bao4 yuan4	to complain, to grumble,	6
报仇	報仇	bao4 chou2	to take revenge, to avenge,	6
报酬	報酬	bao4 chou5	reward, remuneration,	6
报答	報答	bao4 da2	to repay, to requite,	6
报到	報到	bao4 dao4	to report for duty, to check in, to register,	6
报复	報復	bao4 fu4	to make reprisals, to retaliate, revenge, retaliation,	6
报社	報社	bao4 she4	general office of a newspaper, newspaper office, CL:家[jiā],	6
报销	報銷	bao4 xiao1	to submit an expense account, to apply for reimbursement, to write off, to wipe out,	6
爆发	爆發	bao4 fa1	to break out, to erupt, to explode, to burst out,	6
爆炸	爆炸	bao4 zha4	explosion, to explode, to blow up, to detonate,	6
曝光	曝光	bao4 guang1	light meter, exposure meter,	6
暴力	暴力	bao4 li4	violence, (use) force, violent,	6
暴露	暴露	bao4 lu4	to expose, to reveal, to lay bare, also pr. [pù lù],	6
悲哀	悲哀	bei1 ai1	grieved, sorrowful,	6
悲惨	悲慘	bei1 can3	miserable, tragic,	6
卑鄙	卑鄙	bei1 bi3	base, mean, contemptible, despicable,	6
北极	北極	bei3 ji2	the North Pole, the Arctic Pole, the north magnetic pole,	6
被动	被動	bei4 dong4	passive,	6
被告	被告	bei4 gao4	defendant,	6
背叛	背叛	bei4 pan4	to betray,	6
背诵	背誦	bei4 song4	recite, repeat from memory,	6
备份	備份	bei4 fen4	backup,	6
备忘录	備忘錄	bei4 wang4 lu4	memorandum, aide-memoire, memorandum book,	6
贝壳	貝殼	bei4 ke2	shell, conch, cowry, mother of pearl, hard outer skin, alternative reading , mostly written,	6
奔波	奔波	ben1 bo1	to rush about, to be constantly on the move,	6
奔驰	奔馳	Ben1 chi2	to run quickly, to speed, to gallop,	6
奔驰	奔馳	ben1 chi2	to run quickly, to speed, to gallop,	6
本能	本能	ben3 neng2	instinct,	6
本钱	本錢	ben3 qian2	capital,	6
本人	本人	ben3 ren2	the person himself, I (humble form used in speeches), oneself, myself, in person, personal,	6
本身	本身	ben3 shen1	itself, in itself, per se,	6
本事	本事	ben3 shi4	ability, skill,	6
本事	本事	ben3 shi5	ability, skill,	6
本着	本着	ben3 zhe5	based on..., in conformance with.., taking as one's main principle,	6
笨拙	笨拙	ben4 zhuo1	clumsy, awkward, stupid,	6
崩溃	崩潰	beng1 kui4	to collapse, to crumble, to fall apart,	6
甭	甭	beng2	need not, (contraction of 不 and 用),	6
甭	甭	beng4	need not, (contraction of 不 and 用),	6
蹦	蹦	beng4	to jump, to bounce, to hop,	6
迸发	迸發	beng4 fa1	to burst forth,	6
逼迫	逼迫	bi1 po4	to force, to compel, to coerce,	6
鼻涕	鼻涕	bi2 ti4	nasal mucus, snivel,	6
比方	比方	bi3 fang5	analogy, instance,	6
比喻	比喻	bi3 yu4	to compare, to liken to, metaphor, analogy, figure of speech, figuratively,	6
比重	比重	bi3 zhong4	proportion, specific gravity,	6
臂	臂	bi4	arm,	6
弊病	弊病	bi4 bing4	malady, evil, malpractice, drawback, disadvantage,	6
弊端	弊端	bi4 duan1	malpractice, abuse, corrupt practice,	6
必定	必定	bi4 ding4	be bound to, be sure to,	6
闭塞	閉塞	bi4 se4	to stop up, to close up, hard to get to, out of the way, inaccessible, unenlightened, blocking,	6
碧玉	碧玉	bi4 yu4	jasper,	6
鞭策	鞭策	bian1 ce4	to spur on, to urge on, to encourage sb (e.g. to make progress),	6
编织	編織	bian1 zhi1	to weave, to knit, to plait, to braid,	6
边疆	邊疆	bian1 jiang1	border area, borderland, frontier, frontier region,	6
边界	邊界	bian1 jie4	boundary, border,	6
边境	邊境	bian1 jing4	frontier, border,	6
边缘	邊緣	bian1 yuan2	edge, fringe, verge, brink, periphery, marginal, borderline,	6
扁	扁	Pian1	flat, (old form of character 匾, horizontal tablet with inscription),	6
扁	扁	bian3	flat, (old form of character 匾, horizontal tablet with inscription),	6
扁	扁	pian1	flat, (old form of character 匾, horizontal tablet with inscription),	6
贬低	貶低	bian3 di1	to belittle, to disparage, to play down, to demean, to degrade, to devalue,	6
贬义	貶義	bian3 yi4	derogatory sense, negative connotation,	6
遍布	遍布	bian4 bu4	to cover the whole (area), to be found throughout,	6
便利	便利	bian4 li4	convenient, easy, to facilitate,	6
便条	便條	bian4 tiao2	(informal) note, CL:張|张,個|个[gè],	6
便于	便於	bian4 yu2	easy to, convenient for,	6
变故	變故	bian4 gu4	an unforeseen event, accident, misfortune,	6
变迁	變遷	bian4 qian1	changes, vicissitudes,	6
变质	變質	bian4 zhi4	to degenerate, to go bad, to deteriorate, metamorphosis,	6
辩护	辯護	bian4 hu4	to speak in defense of, to argue in favor of, to defend, to plead,	6
辩解	辯解	bian4 jie3	to explain, to justify, to defend (a point of view etc), to provide an explanation, to try to defend oneself,	6
辩证	辯證	bian4 zheng4	to investigate, dialectical,	6
辨认	辨認	bian4 ren4	to recognize, to identify,	6
辫子	辮子	bian4 zi5	plait, braid, pigtail, a mistake or shortcoming that may be exploited by an opponent, handle, CL:根,條|条[tiáo],	6
标本	標本	biao1 ben3	specimen, sample, the root cause and symptoms of a disease,	6
标记	標記	biao1 ji4	sign, mark, symbol, to mark up,	6
标题	標題	biao1 ti2	title, heading, headline, caption, subject,	6
飙升	飆升	biao1 sheng1	to rise rapidly, to soar,	6
表决	表決	biao3 jue2	to decide by vote, to vote,	6
表态	表態	biao3 tai4	to declare one's position, to say where one stands,	6
表彰	表彰	biao3 zhang1	to honor, to commend, to cite (in dispatches),	6
憋	憋	bie1	to choke, to stifle, to restrain, to hold back, to hold in (urine), to hold (one's breath),	6
别墅	別墅	bie2 shu4	villa, CL:幢,座[zuò],	6
别致	別致	bie2 zhi4	variant of 別緻|别致[bié zhì],	6
别致	別致	bie2 zhi4	variant of 別緻|别致[bié zhì],	6
别扭	別扭	bie4 niu5	awkward, difficult, uncomfortable, not agreeing, at loggerheads, gauche, awkward (writing or speech),	6
濒临	瀕臨	bin1 lin2	on the verge of, close to,	6
冰雹	冰雹	bing1 bao2	hail, hailstone, CL:場|场,粒[lì],	6
并存	並存	bing4 cun2	to exist at the same time, to coexist,	6
并非	並非	bing4 fei1	really isn't,	6
并列	並列	bing4 lie4	to stand side by side, to be juxtaposed,	6
拨打	撥打	bo1 da3	to call, to dial,	6
播放	播放	bo1 fang4	to broadcast, to transmit,	6
播种	播種	bo1 zhong3	to sow seeds, sowing, seed,	6
播种	播種	bo1 zhong4	to sow seeds, sowing, seed,	6
波浪	波浪	bo1 lang4	wave,	6
波涛汹涌	波濤洶湧	bo1 tao1 xiong1 yong3	waves surging forth, roaring sea,	6
剥削	剝削	bo1 xue1	to exploit, exploitation,	6
博大精深	博大精深	bo2 da4 - jing1 shen1	wide-ranging and profound, broad and deep,	6
博览会	博覽會	bo2 lan3 hui4	exposition, international fair,	6
搏斗	搏鬥	bo2 dou4	to wrestle, to fight, to struggle,	6
伯母	伯母	bo2 mu3	wife of father's elder brother, aunt, (polite form of address for a woman who is about the age of one's mother), CL:個|个[gè],	6
薄弱	薄弱	bo2 ruo4	weak, frail,	6
不顾	不顧	bu4 gu4	in spite of, regardless of,	6
不愧	不愧	bu4 kui4	to be worthy of, to deserve to be called, to prove oneself to be,	6
不料	不料	bu4 liao4	unexpectedly, to one's surprise,	6
不像话	不像話	bu4 xiang4 hua4	unreasonable, shocking, outrageous,	6
不屑一顾	不屑一顧	bu4 xie4 yi1 gu4	to disdain as beneath contempt,	6
补偿	補償	bu3 chang2	to compensate, to make up,	6
补救	補救	bu3 jiu4	to remedy,	6
补贴	補貼	bu3 tie1	to subsidize, subsidy, allowance,	6
哺乳	哺乳	bu3 ru3	breast feeding, to suckle, to nurse,	6
捕捉	捕捉	bu3 zhuo1	to catch, to seize, to capture,	6
不得已	不得已	bu4 de2 yi3	to act against one's will, to have no alternative but to, to have to, to have no choice, must,	6
不妨	不妨	bu4 fang2	there is no harm in, might as well,	6
不敢当	不敢當	bu4 gan3 dang1	lit. I dare not (accept the honor); fig. I don't deserve your praise, you flatter me,	6
不禁	不禁	bu4 jin1	can't help (doing sth), can't refrain from,	6
不堪	不堪	bu4 kan1	cannot bear, cannot stand, utterly, extremely,	6
不可思议	不可思議	bu4 ke3 - si1 yi4	inconceivable (idiom); unimaginable, unfathomable,	6
不时	不時	bu4 shi2	from time to time, now and then, occasionally,	6
不惜	不惜	bu4 xi1	not stint, not spare, not hesitate (to do sth), not scruple (to do sth),	6
不相上下	不相上下	bu4 xiang1 shang4 xia4	equally matched, about the same,	6
不言而喻	不言而喻	bu4 yan2 er2 yu4	it goes without saying, it is self-evident,	6
不由得	不由得	bu4 you2 de5	can't help, cannot but,	6
不择手段	不擇手段	bu4 ze2 shou3 duan4	by fair means or foul, by hook or by crook, unscrupulously,	6
不止	不止	bu4 zhi3	incessantly, without end, more than, not limited to,	6
布告	布告	bu4 gao4	posting on a bulletin board, notice, bulletin, to announce,	6
布局	布局	bu4 ju2	arrangement, composition, layout, opening (chess jargon),	6
布置	布置	bu4 zhi4	to put in order, to arrange, to decorate, to fix up, to deploy,	6
步伐	步伐	bu4 fa2	pace, (measured) step, march,	6
部署	部署	bu4 shu3	to dispose, to deploy, deployment,	6
部位	部位	bu4 wei4	position, place,	6
才干	才幹	cai2 gan4	ability, competence,	6
财富	財富	cai2 fu4	wealth, riches,	6
财务	財務	cai2 wu4	financial affairs,	6
财政	財政	cai2 zheng4	finances (public), financial,	6
裁缝	裁縫	cai2 feng2	tailor, dressmaker,	6
裁缝	裁縫	cai2 feng5	tailor, dressmaker,	6
裁判	裁判	cai2 pan4	judgment, to referee, umpire, judge, referee, CL:個|个,位,名[míng],	6
裁员	裁員	cai2 yuan2	to cut staff, to lay off employees,	6
采购	採購	cai3 gou4	to procure (for an enterprise etc), to purchase,	6
采集	採集	cai3 ji2	to gather, to collect, to harvest,	6
采纳	採納	cai3 na4	to accept, to adopt,	6
彩票	彩票	cai3 piao4	lottery ticket,	6
参谋	參謀	can1 mou2	staff officer, to give advice,	6
参照	參照	can1 zhao4	to consult a reference, to refer to (another document),	6
残酷	殘酷	can2 ku4	cruel, cruelty,	6
残留	殘留	can2 liu2	to remain, left over, surplus, remnant,	6
残忍	殘忍	can2 ren3	cruel, mean, merciless, ruthless,	6
灿烂	燦爛	can4 lan4	to glitter, brilliant, splendid,	6
舱	艙	cang1	cabin, the hold of a ship or airplane,	6
苍白	蒼白	cang1 bai2	pale, wan,	6
仓促	倉促	cang1 cu4	all of a sudden, hurriedly,	6
仓库	倉庫	cang1 ku4	depot, storehouse, warehouse,	6
操劳	操勞	cao1 lao2	to work hard, to look after,	6
操练	操練	cao1 lian4	drill, practice,	6
操纵	操縱	cao1 zong4	to operate, to control, to rig, to manipulate,	6
操作	操作	cao1 zuo4	to work, to operate, to manipulate,	6
嘈杂	嘈雜	cao2 za2	noisy, clamorous,	6
