simplified	traditional	pinyin	eng	level
黑板	黑板	hei1 ban3	blackboard, CL:塊|块,個|个[gè],	3
护照	護照	hu4 zhao4	passport, CL:本,個|个[gè],	3
花	花	Hua1	flower, blossom, CL:朵,支,束,把,盆,簇[cù], fancy pattern, florid, to spend (money, time),	3
花	花	hua1	flower, blossom, CL:朵,支,束,把,盆,簇[cù], fancy pattern, florid, to spend (money, time),	3
花	花	hua1	flower, blossom, CL:朵,支,束,把,盆,簇[cù], fancy pattern, florid, to spend (money, time),	3
花	花	hua1	flower, blossom, CL:朵,支,束,把,盆,簇[cù], fancy pattern, florid, to spend (money, time),	3
花园	花園	hua1 yuan2	garden, CL:座,個|个[gè],	3
画	畫	hua4	to draw, picture, painting, CL:幅,張|张[zhāng],	3
坏	壞	huai4	bad, spoiled, broken, to break down,	3
环境	環境	huan2 jing4	environment, circumstances, surroundings, CL:個|个[gè], ambient,	3
换	換	huan4	to change, to exchange,	3
黄	黃	Huang2	yellow, pornographic, to fall through,	3
黄	黃	huang2	yellow, pornographic, to fall through,	3
会议	會議	hui4 yi4	meeting, conference, CL:場|场,屆|届[jiè],	3
或者	或者	huo4 zhe3	or, possibly, maybe, perhaps,	3
机会	機會	ji1 hui4	opportunity, chance, occasion, CL:個|个[gè],	3
几乎	幾乎	ji1 hu1	almost, nearly, practically,	3
极	極	ji2	extremely, pole (geography, physics), utmost, top,	3
记得	記得	ji4 de5	to remember,	3
季节	季節	ji4 jie2	time, season, period, CL:個|个[gè],	3
检查	檢查	jian3 cha2	inspection, to examine, to inspect, CL:次[cì],	3
简单	簡單	jian3 dan1	simple, not complicated,	3
见面	見面	jian4 mian4	to meet, to see sb, CL:次[cì],	3
健康	健康	jian4 kang1	health, healthy,	3
讲	講	jiang3	to speak, to explain, to negotiate, to emphasise, to be particular about, as far as sth is concerned, speech, lecture,	3
教	教	Jiao4	to teach,	3
教	教	jiao1	to teach,	3
教	教	jiao4	to teach,	3
脚	腳	jiao3	foot, leg, base, kick, CL:雙|双,隻|只[zhī],	3
脚	腳	jue2	foot, leg, base, kick, CL:雙|双,隻|只[zhī],	3
角	角	Jue2	angle, corner, horn, horn-shaped, unit of money equal to 0.1 yuan, CL:個|个[gè],	3
角	角	jiao3	angle, corner, horn, horn-shaped, unit of money equal to 0.1 yuan, CL:個|个[gè],	3
角	角	jue2	angle, corner, horn, horn-shaped, unit of money equal to 0.1 yuan, CL:個|个[gè],	3
接	接	jie1	to receive, to answer (the phone), to meet or welcome sb, to connect, to catch, to join, to extend, to take one's turn on duty, to take over for sb,	3
街道	街道	jie1 dao4	street, CL:條|条[tiáo], subdistrict, residential district,	3
节目	節目	jie2 mu4	program, item (on a program), CL:臺|台,個|个,套[tào],	3
节日	節日	jie2 ri4	holiday, festival, CL:個|个[gè],	3
结婚	結婚	jie2 hun1	to marry, to get married, CL:次[cì],	3
结束	結束	jie2 shu4	termination, to finish, to end, to conclude, to close,	3
解决	解決	jie3 jue2	to settle (a dispute), to resolve, to solve, to dispose of, to dispatch,	3
借	借	jie4	to lend, to borrow, by means of, to take (an opportunity),	3
借	借	jie4	to lend, to borrow, by means of, to take (an opportunity),	3
经常	經常	jing1 chang2	day to day, everyday, daily, frequently, constantly, regularly, often,	3
经过	經過	jing1 guo4	to pass, to go through, process, course, CL:個|个[gè],	3
经理	經理	jing1 li3	manager, director, CL:個|个,位,名[míng],	3
久	久	jiu3	(long) time, (long) duration of time,	3
旧	舊	jiu4	old, opposite: new 新, former, worn (with age),	3
举行	舉行	ju3 xing2	to hold (a meeting, ceremony etc),	3
句子	句子	ju4 zi5	sentence, CL:個|个[gè],	3
决定	決定	jue2 ding4	to decide (to do something), to resolve, decision, CL:個|个,項|项[xiàng], certainly,	3
渴	渴	ke3	thirsty,	3
可爱	可愛	ke3 ai4	adorable, cute, lovely,	3
刻	刻	ke4	quarter (hour), moment, to carve, to engrave, to cut, oppressive, classifier for short time intervals,	3
客人	客人	ke4 ren2	visitor, guest, customer, client, CL:位[wèi],	3
空调	空調	kong1 tiao2	air conditioning,	3
口	口	kou3	mouth, classifier for things with mouths (people, domestic animals, cannons, wells etc), classifier for bites or mouthfuls,	3
哭	哭	ku1	to cry, to weep,	3
裤子	褲子	ku4 zi5	trousers, pants, CL:條|条[tiáo],	3
裤子	褲子	ku4 zi5	trousers, pants, CL:條|条[tiáo],	3
筷子	筷子	kuai4 zi5	chopsticks, CL:對|对,根,把,雙|双[shuāng],	3
蓝	藍	Lan2	blue, indigo plant,	3
蓝	藍	lan2	blue, indigo plant,	3
老	老	lao3	prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family or to indicate affection or familiarity, old (of people), venerable (person), experienced, of long standing, always, all the time, of the past, very, outdated, (of meat etc) tough,	3
离开	離開	li2 kai1	to depart, to leave,	3
礼物	禮物	li3 wu4	gift, present, CL:件,個|个,份[fèn],	3
历史	歷史	li4 shi3	history, CL:門|门,段[duàn],	3
脸	臉	lian3	face, CL:張|张,個|个[gè],	3
练习	練習	lian4 xi2	exercise, drill, practice, CL:個|个[gè],	3
辆	輛	liang4	classifier for vehicles,	3
了解	了解	liao3 jie3	to understand, to realize, to find out,	3
了解	了解	liao3 jie3	to understand, to realize, to find out,	3
邻居	鄰居	lin2 ju1	neighbor, next door, CL:個|个[gè],	3
楼	樓	Lou2	house with more than 1 story, storied building, floor, CL:層|层,座,棟|栋[dòng],	3
楼	樓	lou2	house with more than 1 story, storied building, floor, CL:層|层,座,棟|栋[dòng],	3
绿	綠	lu:4	green,	3
马	馬	Ma3	horse, CL:匹pi, horse or cavalry piece in Chinese chess, knight in Western chess,	3
马	馬	ma3	horse, CL:匹pi, horse or cavalry piece in Chinese chess, knight in Western chess,	3
马上	馬上	ma3 shang4	at once, right away, immediately, on horseback (i.e. by military force),	3
满意	滿意	man3 yi4	satisfied, pleased, to one's satisfaction,	3
帽子	帽子	mao4 zi5	hat, cap, (fig.) label, bad name, CL:頂|顶[dǐng],	3
米	米	Mi3	rice, CL:粒[lì], meter (classifier),	3
米	米	mi3	rice, CL:粒[lì], meter (classifier),	3
面包	面包	mian4 bao1	bread, CL:片,袋,塊|块[kuài],	3
面条	面條	mian4 tiao2	noodles,	3
明白	明白	ming2 bai5	clear, obvious, unequivocal, to understand, to realize,	3
拿	拿	na2	to hold, to seize, to catch, to apprehend, to take,	3
拿	拿	na2	to hold, to seize, to catch, to apprehend, to take,	3
拿	拿	na2	to hold, to seize, to catch, to apprehend, to take,	3
奶奶	奶奶	nai3 nai5	(informal) grandma (paternal grandmother), (respectful) mistress of the house, CL:位[wèi],	3
南	南	Nan2	south,	3
南	南	na1	south,	3
南	南	nan2	south,	3
难	難	nan2	difficult (to...), problem, difficulty, difficult, not good,	3
难	難	nan4	difficult (to...), problem, difficulty, difficult, not good,	3
难过	難過	nan2 guo4	to feel sad, to feel unwell, (of life) to be difficult,	3
年级	年級	nian2 ji2	grade, CL:個|个[gè],	3
年轻	年輕	nian2 qing1	young,	3
鸟	鳥	diao3	bird, CL:隻|只,群[qún],	3
鸟	鳥	niao3	bird, CL:隻|只,群[qún],	3
努力	努力	nu3 li4	great effort, to strive, to try hard,	3
爬山	爬山	pa2 shan1	to climb a mountain, to mountaineer, hiking, mountaineering,	3
盘子	盤子	pan2 zi5	tray, plate, dish, CL:個|个[gè],	3
胖	胖	pan2	fat, plump,	3
胖	胖	pang4	fat, plump,	3
啤酒	啤酒	pi2 jiu3	beer, CL:杯,瓶,罐,桶,缸[gāng],	3
葡萄	葡萄	pu2 tao5	grape,	3
普通话	普通話	pu3 tong1 hua4	Mandarin (common language), Putonghua (common speech of the Chinese language), ordinary speech,	3
骑	騎	ji4	to ride (an animal or bike), to sit astride,	3
骑	騎	qi2	to ride (an animal or bike), to sit astride,	3
其实	其實	qi2 shi2	actually, in fact, really,	3
其他	其他	qi2 ta1	other, the others, else, other than (that person), in addition to the person mentioned above,	3
奇怪	奇怪	qi2 guai4	strange, odd, to marvel, to be baffled,	3
铅笔	鉛筆	qian1 bi3	(lead) pencil, CL:支,枝,桿|杆[gǎn],	3
清楚	清楚	qing1 chu5	clear, distinct, to understand thoroughly, to be clear about,	3
秋	秋	Qiu1	a swing,	3
秋	秋	qiu1	a swing,	3
秋	秋	qiu1	a swing,	3
秋	秋	qiu1	a swing,	3
裙子	裙子	qun2 zi5	skirt, CL:條|条[tiáo],	3
然后	然後	ran2 hou4	after, then (afterwards), after that, afterwards,	3
热情	熱情	re4 qing2	cordial, enthusiastic, passion, passionate, passionately,	3
认为	認爲	ren4 wei2	to believe, to think, to consider, to feel,	3
认真	認真	ren4 zhen1	conscientious, earnest, serious, to take seriously, to take to heart,	3
容易	容易	rong2 yi4	easy, likely, liable (to),	3
如果	如果	ru2 guo3	if, in case, in the event that,	3
伞	傘	san3	umbrella, parasol, CL:把[bǎ],	3
伞	傘	san3	umbrella, parasol, CL:把[bǎ],	3
上网	上網	shang4 wang3	to be on the internet, to stretch a net (in a sports game or for covering sth), to be netted (of fish),	3
生气	生氣	sheng1 qi4	angry, mad, offended, animated, to get angry, to be enraged, to take offense, animation,	3
声音	聲音	sheng1 yin1	voice, sound, CL:個|个[gè],	3
使	使	shi3	to make, to cause, to enable, to use, to employ, to send, to instruct sb to do sth, envoy, messenger,	3
世界	世界	shi4 jie4	world, CL:個|个[gè],	3
瘦	瘦	shou4	thin, to lose weight, (of clothing) tight, (of meat) lean, (of land) unproductive,	3
舒服	舒服	shu1 fu5	comfortable, feeling well,	3
叔叔	叔叔	shu1 shu5	father's younger brother, uncle, Taiwan pr. [shú shu], CL:個|个[gè],	3
树	樹	shu4	tree, CL:棵[kē], to cultivate, to set up,	3
数学	數學	shu4 xue2	mathematics, mathematical,	3
刷	刷	shua1	to brush, to paint, to daub, to paste up, to skip class (of students), to fire from a job,	3
刷	刷	shua4	to brush, to paint, to daub, to paste up, to skip class (of students), to fire from a job,	3
双	雙	shuang1	two, double, pair, both,	3
双	雙	Shuang1	two, double, pair, both,	3
双	雙	shuang1	two, double, pair, both,	3
水平	水平	shui3 ping2	level (of achievement etc), standard, horizontal,	3
司机	司機	si1 ji1	chauffeur, driver, CL:個|个[gè],	3
虽然	雖然	sui1 ran2	although, even though, even if,	3
太阳	太陽	tai4 yang5	sun, CL:個|个[gè],	3
糖	糖	tang2	sugar, sweets, candy, CL:顆|颗,塊|块[kuài],	3
糖	糖	tang2	sugar, sweets, candy, CL:顆|颗,塊|块[kuài],	3
特别	特別	te4 bie2	especially, special, particular, unusual,	3
疼	疼	teng2	(it) hurts, sore, to love dearly,	3
提高	提高	ti2 gao1	to raise, to increase,	3
体育	體育	ti3 yu4	sports, physical education,	3
甜	甜	tian2	sweet,	3
条	條	tiao2	strip, item, article, clause (of law or treaty), classifier for long thin things (ribbon, river, road, trousers etc),	3
同事	同事	tong2 shi4	colleague, co-worker, CL:個|个,位[wèi],	3
同意	同意	tong2 yi4	to agree, to consent, to approve,	3
头发	頭發	tou2 fa5	hair (on the head),	3
突然	突然	tu1 ran2	sudden, abrupt, unexpected,	3
图书馆	圖書館	tu2 shu1 guan3	library, CL:家,個|个[gè],	3
腿	腿	tui3	leg, CL:條|条[tiáo],	3
腿	腿	tui3	leg, CL:條|条[tiáo],	3
完成	完成	wan2 cheng2	to complete, to accomplish,	3
碗	碗	wan3	bowl, cup, CL:隻|只,個|个[gè],	3
碗	碗	wan3	bowl, cup, CL:隻|只,個|个[gè],	3
碗	碗	wan3	bowl, cup, CL:隻|只,個|个[gè],	3
碗	碗	wan3	bowl, cup, CL:隻|只,個|个[gè],	3
万	萬	mo4	ten thousand, a great number,	3
万	萬	Wan4	ten thousand, a great number,	3
万	萬	wan4	ten thousand, a great number,	3
忘记	忘記	wang4 ji4	to forget,	3
为了	爲了	wei4 le5	in order to, for the purpose of, so as to,	3
为什么	爲什麼	wei4 shen2 me5	why?, for what reason?,	3
位	位	wei4	position, location, place, seat, classifier for people (honorific), classifier for binary bits (e.g. 十六位 16-bit or 2 bytes),	3
文化	文化	wen2 hua4	culture, civilization, cultural, CL:個|个,種|种[zhǒng],	3
西	西	Xi1	west,	3
西	西	xi1	west,	3
习惯	習慣	xi2 guan4	habit, custom, usual practice, to be used to, CL:個|个[gè],	3
洗手间	洗手間	xi3 shou3 jian1	toilet, lavatory, washroom,	3
洗澡	洗澡	xi3 zao3	to bathe, to take a shower,	3
夏	夏	Xia4	summer,	3
夏	夏	xia4	summer,	3
先	先	xian1	early, prior, former, in advance, first,	3
香蕉	香蕉	xiang1 jiao1	banana, CL:枝,根,個|个,把[bǎ],	3
相同	相同	xiang1 tong2	identical, same,	3
相信	相信	xiang1 xin4	to be convinced (that sth is true), to believe, to accept sth as true,	3
像	像	xiang4	to resemble, to be like, to look as if, such as, appearance, image, portrait, image under a mapping (math.),	3
小心	小心	xiao3 xin1	to be careful, to take care,	3
校长	校長	xiao4 zhang3	(college, university) president, headmaster, CL:個|个,位,名[míng],	3
鞋	鞋	xie2	shoe, CL:雙|双,隻|只[zhī],	3
鞋	鞋	xie2	shoe, CL:雙|双,隻|只[zhī],	3
新闻	新聞	xin1 wen2	news, CL:條|条,個|个[gè],	3
新鲜	新鮮	xin1 xian1	fresh (experience, food etc), freshness, novel, uncommon,	3
信	信	xin4	letter, mail, CL:封[fēng], to trust, to believe, to profess faith in, truthful, confidence, trust, at will, at random,	3
行李箱	行李箱	xing2 li5 xiang1	suitcase,	3
兴趣	興趣	xing4 qu4	interest (desire to know about sth), interest (thing in which one is interested), hobby, CL:個|个[gè],	3
熊猫	熊貓	xiong2 mao1	panda, CL:隻|只[zhī],	3
需要	需要	xu1 yao4	to need, to want, to demand, to require, requirement, need,	3
选择	選擇	xuan3 ze2	to select, to pick, choice, option, alternative,	3
眼镜	眼鏡	yan3 jing4	spectacles, eyeglasses, CL:副[fù],	3
要求	要求	yao1 qiu2	to request, to require, to stake a claim, to ask, to demand, CL:點|点[diǎn],	3
爷爷	爺爺	ye2 ye5	(informal) father's father, paternal grandfather, CL:個|个[gè],	3
一定	一定	yi1 ding4	surely, certainly, necessarily, fixed, a certain (extent etc), given, particular, must,	3
一共	一共	yi1 gong4	altogether,	3
一会儿	一會兒	yi1 hui4 r5	a while, also pr. [yī huǐ r],	3
一样	一樣	yi1 yang4	same, like, equal to, the same as, just like,	3
以后	以後	yi3 hou4	after, later, afterwards, following, later on, in the future,	3
以前	以前	yi3 qian2	before, formerly, previous, ago,	3
以为	以爲	yi3 wei2	to believe, to think, to consider, to be under the impression,	3
一般	一般	yi1 ban1	same, ordinary, so-so, common, general, generally, in general,	3
一边	一邊	yi1 bian1	one side, either side, on the one hand, on the other hand, doing while,	3
一直	一直	yi1 zhi2	straight (in a straight line), continuously, always, from the beginning of ... up to ..., all along,	3
音乐	音樂	yin1 yue4	music, CL:張|张,曲,段[duàn],	3
银行	銀行	yin2 hang2	bank, CL:家,個|个[gè],	3
应该	應該	ying1 gai1	ought to, should, must,	3
影响	影響	ying3 xiang3	an influence, an effect, to influence, to affect (usually adversely), to disturb, CL:股[gǔ],	3
用	用	yong4	to use, to employ, to have to, to eat or drink, expense or outlay, usefulness, hence, therefore,	3
游戏	遊戲	you2 xi4	game, CL:場|场[chǎng], to play,	3
有名	有名	you3 ming2	famous, well-known,	3
又	又	you4	(once) again, also, both... and..., and yet, (used for emphasis) anyway,	3
遇到	遇到	yu4 dao4	to meet, to run into, to come across,	3
愿意	願意	yuan4 yi4	to wish, to want, ready, willing (to do sth),	3
越	越	Yue4	to exceed, to climb over, to surpass, the more... the more,	3
越	越	yue4	to exceed, to climb over, to surpass, the more... the more,	3
月亮	月亮	yue4 liang5	moon,	3
云	雲	yun2	cloud, CL:朵[duǒ],	3
云	雲	Yun2	cloud, CL:朵[duǒ],	3
云	雲	yun2	cloud, CL:朵[duǒ],	3
站	站	zhan4	station, to stand, to halt, to stop, branch of a company or organization, website,	3
着急	着急	zhao2 ji2	to worry, to feel anxious, Taiwan pron. [zhāo jí],	3
照顾	照顧	zhao4 gu5	to take care of, to show consideration, to attend to, to look after,	3
照片	照片	zhao4 pian4	photograph, picture, CL:張|张,套,幅[fú],	3
照相机	照相機	zhao4 xiang4 ji1	camera, CL:個|个,架,部,台,隻|只[zhī],	3
只	只	zhi1	classifier for birds and certain animals, one of a pair, some utensils, vessels etc,	3
只	只	zhi3	classifier for birds and certain animals, one of a pair, some utensils, vessels etc,	3
只	只	zhi3	classifier for birds and certain animals, one of a pair, some utensils, vessels etc,	3
只	只	zhi1	classifier for birds and certain animals, one of a pair, some utensils, vessels etc,	3
只	只	zhi3	classifier for birds and certain animals, one of a pair, some utensils, vessels etc,	3
只	只	zhi1	classifier for birds and certain animals, one of a pair, some utensils, vessels etc,	3
只	只	zhi1	classifier for birds and certain animals, one of a pair, some utensils, vessels etc,	3
只	只	zhi3	classifier for birds and certain animals, one of a pair, some utensils, vessels etc,	3
只	只	zhi3	classifier for birds and certain animals, one of a pair, some utensils, vessels etc,	3
只	只	zhi1	classifier for birds and certain animals, one of a pair, some utensils, vessels etc,	3
只	只	zhi3	classifier for birds and certain animals, one of a pair, some utensils, vessels etc,	3
只	只	zhi1	classifier for birds and certain animals, one of a pair, some utensils, vessels etc,	3
只	只	zhi1	but, only,	3
只	只	zhi3	but, only,	3
只	只	zhi3	but, only,	3
只	只	zhi1	but, only,	3
只	只	zhi3	but, only,	3
只	只	zhi1	but, only,	3
只	只	zhi1	but, only,	3
只	只	zhi3	but, only,	3
只	只	zhi3	but, only,	3
只	只	zhi1	but, only,	3
只	只	zhi3	but, only,	3
只	只	zhi1	but, only,	3
终于	終於	zhong1 yu2	at last, in the end, finally, eventually,	3
中间	中間	zhong1 jian1	between, intermediate, mid, middle,	3
