simplified	traditional	pinyin	eng	level
阿姨	阿姨	a1 yi2	maternal aunt, step-mother, childcare worker, nursemaid, woman of similar age to one's parents (term of address used by child), CL:個|个[gè],	3
啊	啊	a1	modal particle ending sentence, showing affirmation, approval, or consent,	3
啊	啊	a2	modal particle ending sentence, showing affirmation, approval, or consent,	3
啊	啊	a3	modal particle ending sentence, showing affirmation, approval, or consent,	3
啊	啊	a4	modal particle ending sentence, showing affirmation, approval, or consent,	3
啊	啊	a5	modal particle ending sentence, showing affirmation, approval, or consent,	3
矮	矮	ai3	low, short (in length),	3
爱好	愛好	ai4 hao4	to like, to take pleasure in, keen on, fond of, interest, hobby, appetite for, CL:個|个[gè],	3
安静	安靜	an1 jing4	quiet, peaceful, calm,	3
把	把	ba3	to hold, to contain, to grasp, to take hold of, handle, particle marking the following noun as a direct object, classifier for objects with handle, classifier for small objects: handful,	3
把	把	ba4	to hold, to contain, to grasp, to take hold of, handle, particle marking the following noun as a direct object, classifier for objects with handle, classifier for small objects: handful,	3
搬	搬	ban1	to move, to shift, to remove, to transport, to apply indiscriminately, to copy mechanically,	3
班	班	Ban1	team, class, squad, work shift, ranking, CL:個|个[gè], classifier for groups,	3
班	班	ban1	team, class, squad, work shift, ranking, CL:個|个[gè], classifier for groups,	3
半	半	ban4	half, semi-, incomplete, (after a number) and a half,	3
办法	辦法	ban4 fa3	means, method, way (of doing sth), CL:條|条,個|个[gè],	3
办公室	辦公室	ban4 gong1 shi4	office, business premises, bureau, CL:間|间[jiān],	3
帮忙	幫忙	bang1 mang2	to help, to lend a hand, to do a favor, to do a good turn,	3
包	包	Bao1	to cover, to wrap, to hold, to include, to take charge of, to contract (to or for), package, wrapper, container, bag, to hold or embrace, bundle, packet, CL:個|个,隻|只[zhī],	3
包	包	bao1	to cover, to wrap, to hold, to include, to take charge of, to contract (to or for), package, wrapper, container, bag, to hold or embrace, bundle, packet, CL:個|个,隻|只[zhī],	3
饱	飽	bao3	to eat till full, satisfied,	3
北方	北方	bei3 fang1	north, the northern part a country, China north of the Yellow River,	3
被	被	bei4	quilt, by, (indicates passive-voice clauses), (literary) to cover, to meet with,	3
鼻子	鼻子	bi2 zi5	nose, CL:個|个,隻|只[zhī],	3
比较	比較	bi3 jiao4	to compare, to contrast, comparatively, relatively, quite, comparison,	3
比赛	比賽	bi3 sai4	competition (sports etc), match, CL:場|场,次[cì],	3
必须	必須	bi4 xu1	to have to, must, compulsory, necessarily,	3
变化	變化	bian4 hua4	change, variation, to change, to vary, CL:個|个[gè],	3
表示	表示	biao3 shi4	to express, to show, to say, to state, to indicate, to mean,	3
表演	表演	biao3 yan3	play, show, performance, exhibition, to perform, to act, to demonstrate, CL:場|场[chǎng],	3
别人	別人	bie2 ren5	other people, others, other person,	3
宾馆	賓館	bin1 guan3	guesthouse, lodge, hotel, CL:個|个,家[jiā],	3
冰箱	冰箱	bing1 xiang1	icebox, freezer cabinet, refrigerator, CL:臺|台,個|个[gè],	3
才	才	cai2	a moment ago, just now, (preceded by a clause of condition or reason) not until, (followed by a numerical clause) only,	3
才	才	cai2	a moment ago, just now, (preceded by a clause of condition or reason) not until, (followed by a numerical clause) only,	3
菜单	菜單	cai4 dan1	menu, CL:份,張|张[zhāng],	3
参加	參加	can1 jia1	to participate, to take part, to join,	3
草	草	cao3	grass, straw, manuscript, draft (of a document), careless, rough, CL:棵,撮,株,根[gēn],	3
草	草	cao3	grass, straw, manuscript, draft (of a document), careless, rough, CL:棵,撮,株,根[gēn],	3
草	草	cao4	grass, straw, manuscript, draft (of a document), careless, rough, CL:棵,撮,株,根[gēn],	3
层	層	ceng2	layer, stratum, laminated, floor (of a building), storey, classifier for layers, repeated, sheaf (math.),	3
差	差	cha1	to differ from, to fall short of, lacking, wrong, inferior,	3
差	差	cha4	to differ from, to fall short of, lacking, wrong, inferior,	3
差	差	chai1	to differ from, to fall short of, lacking, wrong, inferior,	3
差	差	ci1	to differ from, to fall short of, lacking, wrong, inferior,	3
超市	超市	chao1 shi4	supermarket (abbr.), CL:家[jiā],	3
衬衫	襯衫	chen4 shan1	shirt, blouse, CL:件[jiàn],	3
成绩	成績	cheng2 ji4	achievement, performance records, grades, CL:項|项,個|个[gè],	3
城市	城市	cheng2 shi4	city, town, CL:座[zuò],	3
迟到	遲到	chi2 dao4	to arrive late,	3
出现	出現	chu1 xian4	to appear, to arise, to emerge, to show up,	3
除了	除了	chu2 le5	besides, apart from (... also...), in addition to, except (for),	3
厨房	廚房	chu2 fang2	kitchen, CL:間|间[jiān],	3
春	春	chun1	spring (time), gay, joyful, youthful, love, lust, life,	3
春	春	Chun1	spring (time), gay, joyful, youthful, love, lust, life,	3
春	春	chun1	spring (time), gay, joyful, youthful, love, lust, life,	3
词语	詞語	ci2 yu3	word (general term including monosyllables through to short phrases), term (e.g. technical term), expression,	3
聪明	聰明	cong1 ming5	acute (of sight and hearing), clever, intelligent, bright, smart,	3
打扫	打掃	da3 sao3	to clean, to sweep,	3
打算	打算	da3 suan4	to plan, to intend, to calculate, plan, intention, calculation, CL:個|个[gè],	3
带	帶	dai4	band, belt, girdle, ribbon, tire, area, zone, region, CL:條|条[tiáo], to wear, to carry, to take along, to bear (i.e. to have), to lead, to bring, to look after, to raise,	3
担心	擔心	dan1 xin1	anxious, worried, uneasy, to worry, to be anxious,	3
蛋糕	蛋糕	dan4 gao1	cake, CL:塊|块,個|个[gè],	3
当然	當然	dang1 ran2	only natural, as it should be, certainly, of course, without doubt,	3
地	地	de5	-ly, structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct,	3
地	地	di4	-ly, structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct,	3
灯	燈	deng1	lamp, light, lantern, CL:盞|盏[zhǎn],	3
低	低	di1	low, beneath, to lower (one's head), to let droop, to hang down, to incline,	3
地方	地方	di4 fang1	area, place, space, room, territory, CL:處|处,個|个,塊|块[kuài],	3
地方	地方	di4 fang5	area, place, space, room, territory, CL:處|处,個|个,塊|块[kuài],	3
地铁	地鐵	di4 tie3	subway, metro,	3
地图	地圖	di4 tu2	map, CL:張|张,本[běn],	3
电梯	電梯	dian4 ti1	elevator, escalator, CL:臺|台,部[bù],	3
电子	電子	dian4 zi3	electronic, electron (particle physics),	3
冬	冬	dong1	sound of beating a drum, onomatopoeia for rat-a-tat etc,	3
冬	冬	Dong1	sound of beating a drum, onomatopoeia for rat-a-tat etc,	3
冬	冬	dong1	sound of beating a drum, onomatopoeia for rat-a-tat etc,	3
东	東	Dong1	east, host (i.e. sitting on east side of guest), landlord,	3
东	東	dong1	east, host (i.e. sitting on east side of guest), landlord,	3
动物	動物	dong4 wu4	animal, CL:隻|只,群,個|个[gè],	3
短	短	duan3	short or brief, to lack, weak point, fault,	3
段	段	Duan4	paragraph, section, segment, stage (of a process), classifier for stories, periods of time, lengths of thread etc,	3
段	段	duan4	paragraph, section, segment, stage (of a process), classifier for stories, periods of time, lengths of thread etc,	3
锻炼	鍛煉	duan4 lian4	to engage in physical exercise, to work out, to toughen, to temper,	3
多么	多麼	duo1 me5	how (wonderful etc), what (a great idea etc), however (difficult it may be etc),	3
饿	餓	e4	to be hungry, hungry,	3
而且	而且	er2 qie3	(not only ...) but also, moreover, in addition, furthermore,	3
耳朵	耳朵	er3 duo5	ear, CL:隻|只,個|个,對|对[duì],	3
发烧	發燒	fa1 shao1	to have a high temperature (from illness), to have a fever,	3
发现	發現	fa1 xian4	to find, to discover,	3
方便	方便	fang1 bian4	convenient, to help out, to make things easy for people, convenience, suitable, having money to spare, (euphemism) to go to the toilet,	3
放	放	fang4	to release, to free, to let go, to put, to place, to let out, to set off (fireworks),	3
放心	放心	fang4 xin1	to feel relieved, to feel reassured, to be at ease,	3
分	分	fen1	to divide, to separate, to allocate, to distinguish (good and bad), part or subdivision, fraction, one tenth (of certain units), unit of length equivalent to 0.33 cm, minute, a point (in sports or games), 0.01 yuan (unit of money),	3
分	分	fen4	to divide, to separate, to allocate, to distinguish (good and bad), part or subdivision, fraction, one tenth (of certain units), unit of length equivalent to 0.33 cm, minute, a point (in sports or games), 0.01 yuan (unit of money),	3
附近	附近	fu4 jin4	(in the) vicinity, nearby, neighboring, next to,	3
复习	復習	fu4 xi2	variant of 復習|复习, to revise, to review, revision,	3
复习	復習	fu4 xi2	variant of 復習|复习, to revise, to review, revision,	3
干净	幹淨	gan1 jing4	clean, neat,	3
敢	敢	gan3	to dare, daring, (polite) may I venture,	3
感冒	感冒	gan3 mao4	to catch cold, (common) cold, CL:場|场,次[cì],	3
刚才	剛才	gang1 cai2	(just) a moment ago,	3
刚才	剛才	gang1 cai2	(just) a moment ago,	3
根据	根據	gen1 ju4	according to, based on, basis, foundation, CL:個|个[gè],	3
跟	跟	gen1	heel, to follow closely, to go with, to marry sb (of woman), with, towards, as (compared to), from (different from), and (in addition to),	3
更	更	geng1	more, even more, further, still, still more,	3
更	更	geng4	more, even more, further, still, still more,	3
公园	公園	gong1 yuan2	public park, CL:場|场[chǎng],	3
故事	故事	gu4 shi4	narrative, story, tale,	3
故事	故事	gu4 shi5	narrative, story, tale,	3
刮	刮	gua1	to blow (of the wind),	3
刮	刮	gua1	to blow (of the wind),	3
关	關	Guan1	mountain pass, to close, to shut, to turn off, to concern, to involve,	3
关	關	guan1	mountain pass, to close, to shut, to turn off, to concern, to involve,	3
关系	關系	guan1 xi5	variant of 關係|关系[guān xì],	3
关系	關系	guan1 xi5	variant of 關係|关系[guān xì],	3
关心	關心	guan1 xin1	to care for sth, caring, concerned,	3
关于	關於	guan1 yu2	pertaining to, concerning, regarding, with regards to, about, a matter of,	3
国家	國家	guo2 jia1	country, nation, state, CL:個|个[gè],	3
果汁	果汁	guo3 zhi1	fruit juice,	3
过去	過去	guo4 qu4	(in the) past, former, previous, to go over, to pass by,	3
过去	過去	guo4 qu5	(in the) past, former, previous, to go over, to pass by,	3
还是	還是	hai2 shi5	or, still, nevertheless, had better,	3
害怕	害怕	hai4 pa4	to be afraid, to be scared,	3
河	河	he2	river, CL:條|条,道[dào],	3
