pinyin,hanzi,hsk,translation
qǐng,请,1,"to ask, to invite, please (do sth), to treat (to a meal etc), to request,"
qù,去,1,"to go, to go to (a place), to cause to go or send (sb), to remove, to get rid of, (when used either before or after a verb) to go in order to do sth, to be apart from in space or time, (after a verb of motion indicates movement away from the speaker), (used after certain verbs to indicate detachment or separation), (of a time or an event etc) just passed or elapsed,"
rè,热,1,"to warm up, to heat up, hot (of weather), heat, fervent,"
rén,人,1,"man, person, people, CL:個|个,位[wèi],"
rèn shi,认识,1,"to know, to recognize, to be familiar with, to get acquainted with sb, knowledge, understanding, awareness, cognition,"
rì,日,1,"sun, day, date, day of the month, abbr. for 日本 Japan,"
sān,三,1,"three, 3,"
shāng diàn,商店,1,"store, shop, CL:家,個|个[gè],"
shàng,上,1,"on top, upon, above, upper, previous, first (of multiple parts), to climb, to get onto, to go up, to attend (class or university),"
shàng wǔ,上午,1,"morning, CL:個|个[gè],"
shǎo,少,1,"few, little, lack,"
shéi,谁,1,"who, also pr. [shuí],"
shén me,什么,1,"what?, who?, something, anything,"
shí,十,1,"ten, 10,"
shí hou,时候,1,"time, length of time, moment, period,"
shì,是,1,"is, are, am, yes, to be,"
shū,书,1,"book, letter, CL:本,冊|册,部[bù], see also 書經|书经 Book of History,"
shuǐ,水,1,"water, river, liquid, beverage, additional charges or income, (of clothes) classifier for number of washes,"
shuǐ guǒ,水果,1,"fruit, CL:個|个[gè],"
shuì jiào,睡觉,1,"to go to bed, to sleep,"
shuō huà,说话,1,"to speak, to say, to talk, to gossip, to tell stories, talk, word,"
sì,四,1,"four, 4,"
suì,岁,1,"classifier for years (of age), year, year (of crop harvests),"
tā,他,1,"he or him, (used for either sex when the sex is unknown or unimportant), (used before sb's name for emphasis), (used as a meaningless mock object), other, another,"
tā,她,1,"she,"
tài,太,1,"highest, greatest, too (much), very, extremely,"
tiān qì,天气,1,"weather,"
tīng,听,1,"to listen, to hear, to obey, a can (loanword from English ""tin""), classifier for canned beverages,"
tóng xué,同学,1,"to study at the same school, fellow student, classmate, CL:位,個|个[gè],"
wèi,喂,1,"to feed,"
wǒ,我,1,"I, me, my,"
wǒ men,我们,1,"we, us, ourselves, our,"
wǔ,五,1,"five, 5,"
xǐ huan,喜欢,1,"to like, to be fond of,"
xià,下,1,"down, downwards, below, lower, later, next (week etc), second (of two parts), to decline, to go down,"
xià wǔ,下午,1,"afternoon, CL:個|个[gè], p.m.,"
xià yǔ,下雨,1,"to rain, rainy,"
xiān sheng,先生,1,"teacher, husband, doctor (topolect), CL:位[wèi],"
xiàn zài,现在,1,"now, at present, at the moment, modern, current, nowadays,"
xiǎng,想,1,"to think, to believe, to suppose, to wish, to want, to miss,"
xiǎo,小,1,"small, tiny, few, young,"
xiǎo jie,小姐,1,"young lady, miss, (slang) prostitute, CL:個|个,位[wèi],"
xiē,些,1,"some, few, several, measure word indicating a small amount or small number (greater than 1),"
xiě,写,1,"to write,"
xiè xie,谢谢,1,"to thank, thanks,"
xīng qī,星期,1,"week, CL:個|个[gè], day of the week, Sunday,"
xué sheng,学生,1,"student, schoolchild,"
xué xí,学习,1,"to learn, to study,"
xué xiào,学校,1,"school, CL:所[suǒ],"
yī,一,1,"one, 1, single, a (article), as soon as, entire, whole, all, throughout, ""one"" radical in Chinese characters (Kangxi radical 1),"
yī fu,衣服,1,"clothes, CL:件,套[tào],"
yī shēng,医生,1,"doctor, CL:個|个,位,名[míng],"
yī yuàn,医院,1,"hospital, CL:所,家,座[zuò],"
yǐ zi,椅子,1,"chair, CL:把,套[tào],"
yǒu,有,1,"to have, there is, there are, to exist, to be,"
yuè,月,1,"moon, month, CL:個|个,輪|轮[lún],"
zài,在,1,"(located) at, (to be) in, to exist, in the middle of doing sth, (indicating an action in progress),"
zài jiàn,再见,1,"goodbye, see you again later,"
zěn me,怎么,1,"variant of 怎麼|怎么[zěn me],"
zěn me yàng,怎么样,1,"how?, how about?, how was it?, how are things?,"
zhè,这,1,"this, these, (commonly pr.  before a classifier, esp. in Beijing),"
Zhōng guó,中国,1,"China, Middle Kingdom,"
zhōng wǔ,中午,1,"noon, midday, CL:個|个[gè],"
zhù,住,1,"to live, to dwell, to stay, to reside, to stop, (suffix indicating firmness, steadiness, or coming to a halt),"
zhuō zi,桌子,1,"table, desk, CL:張|张,套[tào],"
zì,字,1,"letter, symbol, character, word, CL:個|个[gè], courtesy or style name traditionally given to males aged 20 in dynastic China,"
zuó tiān,昨天,1,"yesterday,"
zuò,坐,1,"to sit, to take a seat, to take (a bus, airplane etc), to bear fruit, variant of 座[zuò],"
zuò,做,1,"to do, to make, to produce, to write, to compose, to act as, to engage in, to hold (a party), to be, to become, to function (in some capacity), to serve as, to be used for, to form (a bond or relationship), to pretend, to feign, to act a part, to put on appearance,"
ba,吧,2,"(modal particle indicating suggestion or surmise), ...right?, ...OK?, ...I presume.,"
bái,白,2,"white, snowy, pure, bright, empty, blank, plain, clear, to make clear, in vain, gratuitous, free of charge, reactionary, anti-communist, funeral, to stare coldly, to write wrong character, to state, to explain, vernacular, spoken lines in opera,"
bǎi,百,2,"hundred, numerous, all kinds of,"
bāng zhù,帮助,2,"assistance, aid, to help, to assist,"
bào zhǐ,报纸,2,"newspaper, newsprint, CL:份,期,張|张[zhāng],"
bǐ,比,2,"(particle used for comparison and ""-er than""), to compare, to contrast, to gesture (with hands), ratio,"
bié,别,2,"to leave, to depart, to separate, to distinguish, to classify, other, another, do not, must not, to pin,"
cháng,长,2,"length, long, forever, always, constantly,"
chàng gē,唱歌,2,"to sing a song,"
chū,出,2,"to go out, to come out, to occur, to produce, to go beyond, to rise, to put forth, to happen, classifier for dramas, plays, operas etc,"
chuān,穿,2,"to bore through, to pierce, to perforate, to penetrate, to pass through, to dress, to wear, to put on, to thread,"
chuán,船,2,"a boat, vessel, ship, CL:條|条,艘,隻|只[zhī],"
cì,次,2,"next in sequence, second, the second (day, time etc), secondary, vice-, sub-, infra-, inferior quality, substandard, order, sequence, hypo- (chemistry), classifier for enumerated events: time,"
cóng,从,2,"from, via, passing through, through (a gap), past, ever (followed by negative, meaning never), (formerly pr.  and related to 縱|纵) to follow, to comply with, to obey, to join, to engage in, adopting some mode of action or attitude, follower, retainer, accessory, accomplice, related by common paternal grandfather or earlier ancestor,"
cuò,错,2,"mistake, wrong, bad, interlocking, complex, to grind, to polish, to alternate, to stagger, to miss, to let slip, to evade, to inlay with gold or silver,"
dá lán qiú,打篮球,2,"Play basketball,"
dà jiā,大家,2,"everyone, influential family, great expert,"
dàn shì,但是,2,"but, however,"
dào,到,2,"to (a place), until (a time), up to, to go, to arrive,"
de,得,2,"structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc,"
děi,得,2,"to have to, must, ought to, to need to,"
