pinyin,hanzi,hsk,translation
biàn lùn,辩论,5,"debate, argument, to argue over, CL:場|场,次[cì],"
biāo diǎn,标点,5,"punctuation, a punctuation mark, to punctuate, CL:個|个[gè],"
biāo zhì,标志,5,"sign, mark, symbol, to symbolize, to indicate, to mark,"
biǎo miàn,表面,5,"surface, face, outside, appearance,"
biǎo míng,表明,5,"to make clear, to make known, to state clearly, to indicate, known,"
biǎo qíng,表情,5,"(facial) expression, to express one's feelings, expression,"
biǎo xiàn,表现,5,"to show, to show off, to display, to manifest, expression, manifestation, show, display, performance (at work etc), behavior,"
bǐng,丙,5,"third of 10 heavenly stems 十天干, third in order, letter ""C"" or roman ""III"" in list ""A, B, C"", or ""I, II, III"" etc, propyl,"
bìng dú,病毒,5,"virus,"
bō li,玻璃,5,"glass, nylon, plastic, CL:張|张,塊|块[kuài],"
bó wù guǎn,博物馆,5,"museum,"
bó zi,脖子,5,"neck, CL:個|个[gè],"
bù bì,不必,5,"need not, does not have to, not necessarily,"
bù duàn,不断,5,"unceasing, uninterrupted, continuous, constant,"
bù jiàn de,不见得,5,"not necessarily, not likely,"
bù nài fán,不耐烦,5,"impatience, impatient,"
bù yào jǐn,不要紧,5,"unimportant, not serious, it doesn't matter, never mind, it looks all right, but,"
bǔ chōng,补充,5,"to replenish, to supplement, to complement, additional, supplementary, CL:個|个[gè],"
bù ān,不安,5,"unpeaceful, unstable, uneasy, disturbed, restless, worried,"
bù dé liǎo,不得了,5,"desperately serious, disastrous, extremely, exceedingly,"
bù hǎo yì si,不好意思,5,"to feel embarrassed, to find it embarrassing, to be sorry (for inconveniencing sb),"
bù miǎn,不免,5,"inevitably,"
bù rán,不然,5,"not so, no, or else, otherwise, if not,"
bù rú,不如,5,"not equal to, not as good as, inferior to, it would be better to,"
bù zú,不足,5,"insufficient, lacking, deficiency, not enough, inadequate, not worth, cannot, should not,"
bù,布,5,"cloth, to declare, to announce, to spread, to make known,"
bù zhòu,步骤,5,"procedure, step,"
bù mén,部门,5,"department, branch, section, division, CL:個|个[gè],"
cái chǎn,财产,5,"property, CL:筆|笔[bǐ],"
cǎi,踩,5,"to step on, to tread, to stamp, to press a pedal, to pedal (a bike),"
cǎi fǎng,采访,5,"to interview, to gather news, to hunt for and collect, to cover,"
cǎi qǔ,采取,5,"to adopt or carry out (measures, policies, course of action), to take,"
cǎi hóng,彩虹,5,"rainbow,"
cān kǎo,参考,5,"consultation, reference, to consult, to refer,"
cān yù,参与,5,"to participate (in sth),"
cān tīng,餐厅,5,"dining hall, dining room, restaurant, CL:間|间,家[jiā],"
cán jí,残疾,5,"disabled, handicapped, deformity on a person or animal,"
cán kuì,惭愧,5,"ashamed,"
cāo chǎng,操场,5,"playground, sports field, drill ground, CL:個|个[gè],"
cāo xīn,操心,5,"to worry about,"
cè,册,5,"book, booklet, classifier for books,"
cè yàn,测验,5,"test, to test, CL:次,個|个[gè],"
cè suǒ,厕所,5,"toilet, lavatory, CL:間|间,處|处[chù],"
céng jīng,曾经,5,"once, already, former, previously, ever, (past tense marker used before verb or clause),"
chā,插,5,"to insert, stick in, pierce, to take part in, to interfere, to interpose,"
chā bié,差别,5,"difference, distinction, diversity, disparity,"
chā zi,叉子,5,"fork, CL:把[bǎ],"
chāi,拆,5,"to tear open, to tear down, to tear apart, to open,"
chǎn pǐn,产品,5,"goods, merchandise, product, CL:個|个[gè],"
chǎn shēng,产生,5,"to arise, to come into being, to come about, to give rise to, to bring into being, to bring about, to produce, to engender, to generate, to appear, appearance, emergence, generation, production, yield,"
cháng tú,长途,5,"long distance,"
cháng shí,常识,5,"common sense, general knowledge, CL:門|门[mén],"
chāo,抄,5,"to make a copy, to plagiarize, to search and seize, to raid, to grab, to go off with, to take a shortcut, to make a turning move, to fold one's arms,"
cháo,朝,5,"imperial or royal court, government, dynasty, reign of a sovereign or emperor, court or assembly held by a sovereign or emperor, to make a pilgrimage to, facing, towards,"
cháo dài,朝代,5,"dynasty, reign (of a king),"
chǎo,炒,5,"to sauté, to stir-fry, to speculate, to hype, to fire (sb),"
chǎo jià,吵架,5,"to quarrel, to have a row, quarrel, CL:頓|顿[dùn],"
chē kù,车库,5,"garage,"
chē xiāng,车厢,5,"carriage, CL:節|节[jié],"
chè dǐ,彻底,5,"thorough, thoroughly, complete,"
chén mò,沉默,5,"taciturn, uncommunicative, silent,"
chèn,趁,5,"to avail oneself of, to take advantage of,"
chēng,称,5,"to weigh, to state, to name, name, appellation, to praise,"
chēng hu,称呼,5,"to call, to address as, appellation,"
chēng zàn,称赞,5,"to praise, to acclaim, to commend, to compliment,"
chéng,乘,5,"to ride, to mount, to make use of, to avail oneself of, to take advantage of, to multiply (mathematics), Buddhist sect or creed,"
chéng dān,承担,5,"to undertake, to assume (responsibility etc),"
chéng rèn,承认,5,"to admit, to concede, to recognize, recognition (diplomatic, artistic etc), to acknowledge,"
chéng shòu,承受,5,"to bear, to support, to inherit,"
chéng fèn,成分,5,"composition, make-up, ingredient, element, component, one's social status, CL:個|个[gè],"
chéng guǒ,成果,5,"result, achievement, gain, profit, CL:個|个[gè],"
chéng jiù,成就,5,"accomplishment, success, attain a result, achievement, CL:個|个[gè],"
chéng lì,成立,5,"to establish, to set up, to be tenable, to hold water,"
chéng yǔ,成语,5,"Chinese set expression, often made up of 4 characters or two couplets of 4 characters each, often alluding to a story or historical quotation, idiom; proverb; saying; adage; set expression, CL:條|条,本,句[jù],"
chéng zhǎng,成长,5,"to mature, to grow, growth,"
chéng dù,程度,5,"degree (level or extent), level, CL:個|个[gè],"
chéng xù,程序,5,"procedures, sequence, order, computer program,"
chéng kěn,诚恳,5,"sincere, honest, cordial,"
chī kuī,吃亏,5,"to suffer losses, to come to grief, to lose out, to get the worst of it, to be at a disadvantage, unfortunately,"
chí xù,持续,5,"to continue, to persist, sustainable, preservation,"
chí zi,池子,5,"pond, CL:個|个[gè],"
chǐ zi,尺子,5,"rule, ruler (measuring instrument), CL:把[bǎ],"
chì bǎng,翅膀,5,"wing, CL:個|个,對|对[duì],"
chōng,冲,5,"thoroughfare, to go straight ahead, to rush, to clash,"
chōng diàn qì,充电器,5,"battery charger,"
chōng fèn,充分,5,"ample, sufficient, adequate, full, fully, to the full,"
chōng mǎn,充满,5,"full of, brimming with, very full, permeated,"
chóng fù,重复,5,"to repeat, to duplicate, CL:個|个[gè],"
chǒng wù,宠物,5,"house pet,"
chōu ti,抽屉,5,"drawer,"
chōu xiàng,抽象,5,"abstract, abstraction, CL:種|种[zhǒng],"
chǒu,丑,5,"shameful, ugly, disgraceful,"
chòu,臭,5,"stench, stink, smelly, to smell (bad),"
chū bǎn,出版,5,"to publish, to come off the press, to put out,"
chū kǒu,出口,5,"an exit, CL:個|个[gè], to speak, to export, (of a ship) to leave port,"
chū sè,出色,5,"remarkable, outstanding,"
chū xí,出席,5,"to attend, to participate, present,"
chū jí,初级,5,"junior, primary,"
chú,除,5,"to get rid of, to remove, to exclude, to eliminate, to wipe out, to divide, except, not including,"
chú fēi,除非,5,"only if (..., or otherwise, ...), only when, only in the case that, unless,"
chú xī,除夕,5,"(New Year's) Eve,"
chǔ lǐ,处理,5,"to handle, to treat, to deal with, to process, CL:個|个[gè],"
chuán bō,传播,5,"to disseminate, to propagate, to spread,"
chuán dì,传递,5,"to transmit, to pass on to sb else,"
chuán rǎn,传染,5,"to infect, contagious,"
chuán shuō,传说,5,"legend, folklore, tradition, it is said, they say that...,"
chuán tǒng,传统,5,"tradition, traditional, convention, conventional, CL:個|个[gè],"
chuāng lián,窗帘,5,"window curtains,"
chuǎng,闯,5,"to rush, to charge, to dash, to break through, to temper oneself (through battling hardships),"
chuàng zào,创造,5,"to create, to bring about, to produce, to set (a record),"
chuī,吹,5,"to blow, to play a wind instrument, to blast, to puff, to boast, to brag, to end in failure, to fall through,"
cí dài,磁带,5,"magnetic tape, CL:盤|盘,盒[hé],"
cí zhí,辞职,5,"to resign,"
cǐ wài,此外,5,"besides, in addition, moreover, furthermore,"
cì jī,刺激,5,"to provoke, to irritate, to upset, to stimulate, to excite, irritant,"
cì yào,次要,5,"secondary,"
cōng máng,匆忙,5,"hasty, hurried,"
cóng cǐ,从此,5,"from now on, since then, henceforth,"
cóng ér,从而,5,"thus, thereby,"
cóng qián,从前,5,"previously, formerly, once upon a time,"
cóng shì,从事,5,"to go for, to engage in, to undertake, to deal with, to handle, to do,"
cù,醋,5,"vinegar,"
cù jìn,促进,5,"to promote (an idea or cause), to advance, boost,"
cù shǐ,促使,5,"to induce, to promote, to urge, to impel, to bring about, to provoke, to drive (sb to do sth), to catalyze, to actuate, to contribute to (some development),"
cuī,催,5,"to urge, to press, to prompt, to rush sb, to hasten sth, to expedite,"
cún,存,5,"to exist, to deposit, to store, to keep, to survive,"
cún zài,存在,5,"to exist, to be, existence,"
cuò wù,错误,5,"error, mistake, CL:個|个[gè], mistaken, false, wrong,"
cuò shī,措施,5,"measure, step, CL:個|个[gè],"
dā ying,答应,5,"to promise, to agree, to reply, to respond,"
dá dào,达到,5,"to reach, to achieve, to attain,"
dǎ gōng,打工,5,"to work a temporary or casual job, (of students) to have a job outside of class time, or during vacation,"
dǎ jiāo dào,打交道,5,"to come into contact with, to have dealings,"
dǎ pēn tì,打喷嚏,5,"to sneeze,"
dǎ ting,打听,5,"to ask about, to inquire about,"
dǎ zhāo hu,打招呼,5,"to greet sb by word or action, to give prior notice,"
dà fang,大方,5,"generous, magnanimous, stylish, in good taste, easy-mannered, natural and relaxed,"
dà xiàng,大象,5,"elephant, CL:隻|只[zhī],"
dà xíng,大型,5,"large, large-scale,"
dāi,呆,5,"foolish, stupid, expressionless, blank, to stay,"
dài kuǎn,贷款,5,"a loan, to provide a loan (e.g. bank), CL:筆|笔[bǐ],"
dài yù,待遇,5,"treatment, pay, wages, status, salary,"
dān rèn,担任,5,"to hold a governmental office or post, to assume office of, to take charge of, to serve as,"
dān chún,单纯,5,"simple, pure, alone, merely,"
dān diào,单调,5,"monotonous,"
dān dú,单独,5,"alone, by oneself, on one's own,"
dān wèi,单位,5,"a unit, unit (of measure), work unit (one's workplace), CL:個|个[gè],"
dān yuán,单元,5,"unit, entrance number, staircase (for residential buildings),"
dān wu,耽误,5,"to delay, to hold up, to waste time, to interfere with,"
dǎn xiǎo guǐ,胆小鬼,5,"coward,"
dàn,淡,5,"insipid, diluted, weak, mild, light in color, tasteless, fresh, indifferent, nitrogen,"
dāng dài,当代,5,"the present age, the contemporary era,"
dǎng,挡,5,"to resist, to obstruct, to hinder, to keep off, to block (a blow), to get in the way of, cover, gear,"
dǎo,岛,5,"island, CL:個|个,座[zuò],"
dǎo méi,倒霉,5,"to have bad luck, to be out of luck,"
dǎo yǎn,导演,5,"to direct, director (film etc),"
dǎo zhì,导致,5,"to lead to, to create, to cause, to bring about,"
dào,倒,5,"to place upside down, to invert, to pour, to throw out, to move backwards, however, actually, as a matter of fact, contrary to expectation,"
dào dá,到达,5,"to reach, to arrive,"
dào dé,道德,5,"virtue, morality, ethics, CL:種|种[zhǒng],"
dào li,道理,5,"reason, argument, sense, principle, basis, justification, CL:個|个[gè],"
dēng jī pái,登机牌,5,"boarding pass,"
dēng jì,登记,5,"to register (one's name),"
děng dài,等待,5,"to wait, to wait for,"
děng hòu,等候,5,"to wait, to wait for,"
děng yú,等于,5,"to equal, to be tantamount to,"
dī,滴,5,"a drop, to drip,"
dí què,的确,5,"really, indeed,"
dí rén,敌人,5,"enemy, CL:個|个[gè],"
dì,递,5,"to hand over, to pass on sth, to gradually increase or decrease, progressively,"
dì dao,地道,5,"authentic, genuine, typical, from a place known for the product, thorough, conscientious,"
dì lǐ,地理,5,"geography,"
dì qū,地区,5,"local, regional, district (not necessarily formal administrative unit), region, area, as suffix to city name, means prefecture or county (area administered by a prefecture level city or county level city), CL:個|个[gè],"
dì tǎn,地毯,5,"carpet, rug,"
dì wèi,地位,5,"position, status, place, CL:個|个[gè],"
dì zhèn,地震,5,"earthquake,"
diǎn tóu,点头,5,"to nod,"
diǎn xin,点心,5,"light refreshments, pastry, dimsum (in Cantonese cooking), dessert,"
diàn chí,电池,5,"battery, CL:節|节,組|组[zǔ],"
diàn tái,电台,5,"transmitter-receiver, broadcasting station, radio station, CL:個|个,家[jiā],"
diào,钓,5,"to fish with a hook and bait,"
dīng,丁,5,"fourth of 10 heavenly stems 十天干, fourth in order, letter ""D"" or roman ""IV"" in list ""A, B, C"", or ""I, II, III"" etc, butyl, cubes (of food),"
dǐng,顶,5,"apex, crown of the head, top, roof, to carry on the head, to push to the top, to go against, most, to replace, to substitute, classifier for headwear, hats, veils etc, to ""bump"" a forum thread to raise its profile (internet slang),"
dòng,冻,5,"to freeze, to feel very cold, aspic or jelly,"
dòng,洞,5,"cave, hole, zero (unambiguous spoken form when spelling out numbers), CL:個|个[gè],"
dòng huà piàn,动画片,5,"animated film,"
dòu,逗,5,"to stay, to stop, to pause (while reading), to tease (play with),"
dòu fu,豆腐,5,"tofu, bean curd,"
dú lì,独立,5,"independent, independence, to stand alone,"
dú tè,独特,5,"unique, distinct, having special characteristics,"
dù guò,度过,5,"to pass, to spend (time), to survive, to get through,"
duǎn xìn,短信,5,"text message, SMS,"
duī,堆,5,"to pile up, to heap up, a mass, pile, heap, stack, large amount,"
duì bǐ,对比,5,"to contrast, contrast, ratio, CL:個|个[gè],"
duì dài,对待,5,"to treat, treatment,"
duì fāng,对方,5,"counterpart, other person involved, opposite side, other side, receiving party,"
duì shǒu,对手,5,"opponent, adversary, match,"
duì xiàng,对象,5,"target, object, partner, boyfriend, girlfriend, CL:個|个[gè],"
duì yú,对于,5,"regarding, as far as sth is concerned, with regards to,"
dūn,吨,5,"ton, Taiwan pr. [dùn],"
dūn,蹲,5,"to crouch, to squat,"
duō kuī,多亏,5,"thanks to, luckily,"
duō yú,多余,5,"superfluous, unnecessary, surplus,"
duǒ cáng,躲藏,5,"to hide oneself,"
è liè,恶劣,5,"vile, nasty, of very poor quality,"
fā biǎo,发表,5,"to issue, to publish,"
fā chóu,发愁,5,"to worry, to fret, to be anxious, to become sad,"
fā dá,发达,5,"developed (country etc), flourishing, to develop,"
fā dǒu,发抖,5,"to tremble, to shake, to shiver,"
fā huī,发挥,5,"to display, to exhibit, to bring out implicit or innate qualities, to express (a thought or moral), to develop (an idea), to elaborate (on a theme),"
fā míng,发明,5,"to invent, invention, CL:個|个[gè],"
fā piào,发票,5,"invoice, receipt or bill for purchase,"
fā yán,发言,5,"to make a speech, statement, utterance, CL:個|个[gè],"
fá kuǎn,罚款,5,"(impose a) fine, penalty, fine (monetary),"
fǎ yuàn,法院,5,"court of law, court,"
fān,翻,5,"to turn over, to flip over, to overturn, to rummage through, to translate, to decode, to double, to climb over or into, to cross,"
fán róng,繁荣,5,"prosperous, booming (economy),"
fán shì,凡是,5,"each and every, every, all, any,"
fǎn ér,反而,5,"instead, on the contrary, contrary (to expectations),"
fǎn fù,反复,5,"repeatedly, over and over,"
fǎn yìng,反应,5,"to react, to respond, reaction, response, reply, chemical reaction, CL:個|个[gè],"
fǎn zhèng,反正,5,"anyway, in any case, to come over from the enemy's side,"
fāng,方,5,"square, power or involution (mathematics), upright, honest, fair and square, direction, side, party (to a contract, dispute etc), place, method, prescription (medicine), just when, only or just, classifier for square things, abbr. for square or cubic meter,"
fāng àn,方案,5,"plan, program (for action etc), proposal, proposed bill, CL:個|个,套[tào],"
fāng shì,方式,5,"way (of life), pattern, style, mode, manner, CL:個|个[gè],"
fáng ài,妨碍,5,"to hinder, to obstruct,"
fáng dōng,房东,5,"landlord,"
fǎng fú,仿佛,5,"to seem, as if, alike, similar,"
fàng sōng,放松,5,"to loosen, to relax,"
fēi,非,5,"to not be, not, wrong, incorrect, non-, un-, in-, to reproach or blame, (colloquial) to insist on, simply must,"
féi zào,肥皂,5,"soap, CL:塊|块,條|条[tiáo],"
fèi,肺,5,"lung, CL:個|个[gè],"
fèi huà,废话,5,"nonsense, rubbish, superfluous words, You don't say!, No kidding! (gently sarcastic),"
fèi yòng,费用,5,"cost, expenditure, expense, CL:筆|笔,個|个[gè],"
fēn bié,分别,5,"to part or leave each other, to distinguish, difference, in different ways, differently, separately or individually,"
fēn bù,分布,5,"distributed, to distribute,"
fēn pèi,分配,5,"to distribute, to assign, to allocate, to partition (a hard drive),"
fēn xī,分析,5,"to analyze, analysis, CL:個|个[gè],"
fēn fēn,纷纷,5,"one after another, in succession, one by one, continuously, diverse, in profusion, numerous and confused, pell-mell,"
fèn dòu,奋斗,5,"to strive, to struggle,"
fèn nù,愤怒,5,"angry, indignant, wrath, ire,"
fēng gé,风格,5,"style,"
fēng sú,风俗,5,"social custom, CL:個|个[gè],"
fēng xiǎn,风险,5,"risk, hazard,"
fēng kuáng,疯狂,5,"madness, extreme popularity,"
fěng cì,讽刺,5,"to satirize, to mock, irony, satire, sarcasm,"
fǒu dìng,否定,5,"to negate, to deny, to reject, negative (answer), negation,"
fǒu rèn,否认,5,"to declare to be untrue, to deny,"
fú,扶,5,"to support with the hand, to help sb up, to support oneself by holding onto something, to help,"
fú,幅,5,"width, roll, classifier for textiles or pictures,"
fú cóng,服从,5,"to obey (an order), to comply, to defer,"
fú zhuāng,服装,5,"dress, clothing, costume, clothes, CL:身[shēn],"
fǔ dǎo,辅导,5,"to coach, to tutor, to give advice (in study),"
fù zhì,复制,5,"to duplicate, to make a copy of, to copy, to reproduce, to clone,"
fù kuǎn,付款,5,"to pay a sum of money, payment,"
fù nǚ,妇女,5,"woman,"
gǎi gé,改革,5,"reform, CL:次,種|种,項|项[xiàng], to reform,"
gǎi jìn,改进,5,"to improve, to make better, CL:個|个[gè],"
gǎi shàn,改善,5,"to make better, to improve, CL:個|个[gè],"
gǎi zhèng,改正,5,"to correct, to amend, to put right, correction, CL:個|个[gè],"
gài,盖,5,"lid, top, cover, canopy, to cover, to conceal, to build,"
gài kuò,概括,5,"to summarize, to generalize, briefly, CL:個|个[gè],"
gài niàn,概念,5,"concept, idea, CL:個|个[gè],"
gān cuì,干脆,5,"straightforward, clear-cut, blunt (e.g. statement), you might as well, simply,"
gǎn jī,感激,5,"to be grateful, to appreciate, thankful,"
gǎn shòu,感受,5,"to sense, perception, to feel (through the senses), a feeling, an impression, an experience,"
gǎn xiǎng,感想,5,"impressions, reflections, thoughts, CL:通,個|个[gè],"
gǎn jǐn,赶紧,5,"hurriedly, without delay,"
gǎn kuài,赶快,5,"at once, immediately,"
gàn huó r,干活儿,5,"to work, manual labor,"
gāng tiě,钢铁,5,"steel,"
gāo dàng,高档,5,"superior quality, high grade, top grade,"
gāo sù,高速,5,"high speed,"
gǎo,搞,5,"to do, to make, to go in for, to set up, to get hold of, to take care of,"
gào bié,告别,5,"to leave, to bid farewell to, to say good-bye to,"
gē bo,胳膊,5,"arm, CL:隻|只,條|条,雙|双[shuāng],"
gē zi,鸽子,5,"pigeon, dove, various birds of the species Columbidae,"
gé bì,隔壁,5,"next door, neighbor,"
gé wài,格外,5,"especially, particularly,"
gé mìng,革命,5,"revolution, revolutionary (politics), CL:次[cì],"
gè bié,个别,5,"individual, specific, respective, just one or two,"
gè rén,个人,5,"individual, personal, oneself,"
gè xìng,个性,5,"individuality, personality,"
gè zì,各自,5,"each, respective, apiece,"
gēn,根,5,"root, basis, classifier for long slender objects, e.g. cigarettes, guitar strings, CL:條|条[tiáo], radical (chemistry),"
gēn běn,根本,5,"fundamental, basic, root, simply, absolutely (not), (not) at all, CL:個|个[gè],"
gèng jiā,更加,5,"more (than sth else), even more,"
gōng bù,公布,5,"to announce, to make public, to publish,"
gōng kāi,公开,5,"public, to publish, to make public,"
gōng píng,公平,5,"fair, impartial,"
gōng yù,公寓,5,"apartment building, block of flats, CL:套[tào],"
gōng yuán,公元,5,"CE (Common Era), Christian Era, AD (Anno Domini),"
gōng zhǔ,公主,5,"princess,"
gōng chǎng,工厂,5,"factory, CL:家,座[zuò],"
gōng chéng shī,工程师,5,"engineer, CL:個|个,位,名[míng],"
gōng rén,工人,5,"worker, CL:個|个,名[míng],"
gōng yè,工业,5,"industry,"
gōng fu,功夫,5,"skill, art, kung fu, labor, effort,"
gōng néng,功能,5,"function, capability,"
gòng xiàn,贡献,5,"to contribute, to dedicate, to devote, contribution, CL:個|个[gè],"
gōu tōng,沟通,5,"to join, to connect, to link up, to communicate,"
gòu chéng,构成,5,"to constitute, to form, to compose, to make up, to configure (computing),"
gū gu,姑姑,5,"paternal aunt, CL:個|个[gè],"
gū niang,姑娘,5,"girl, young woman, young lady, daughter, paternal aunt (old), CL:個|个[gè],"
gǔ dài,古代,5,"ancient times, olden times,"
gǔ diǎn,古典,5,"classical,"
gǔ lǎo,古老,5,"ancient, old, age-old,"
gǔ piào,股票,5,"share, stock (market),"
gǔ wǔ,鼓舞,5,"heartening (news), boost (morale), CL:個|个[gè],"
gǔ tou,骨头,5,"bone, CL:根,塊|块[kuài], moral character, bitterness,"
gù dìng,固定,5,"fixed, set, regular,"
gù tǐ,固体,5,"solid,"
gù yōng,雇佣,5,"to employ, to hire,"
guà hào,挂号,5,"to register (a letter etc),"
guāi,乖,5,"(of a child) obedient, well-behaved, clever, shrewd, alert, perverse, contrary to reason, irregular, abnormal,"
guǎi wān,拐弯,5,"to go round a curve, to turn a corner, fig. a new direction,"
guài bu de,怪不得,5,"no wonder!, so that's why!,"
guān bì,关闭,5,"to close, to shut,"
guān huái,关怀,5,"care, solicitude, to show care for, concerned about, attentive to,"
guān,官,5,"official, government, organ of body, CL:個|个[gè],"
guān chá,观察,5,"to observe, to watch, to survey, to examine, observation, view, perspective, CL:個|个[gè],"
guān diǎn,观点,5,"point of view, viewpoint, standpoint, CL:個|个[gè],"
guān niàn,观念,5,"notion, thought, concept, sense, views, ideology, general impressions,"
guǎn zi,管子,5,"tube, pipe, drinking straw, CL:根[gēn],"
guàn tou,罐头,5,"tin, can, CL:個|个[gè],"
guàn jūn,冠军,5,"champion, CL:個|个[gè],"
guāng hua,光滑,5,"glossy, sleek, smooth,"
guāng lín,光临,5,"(honorific) Welcome!, You honor us with your presence., It is an honor to have you.,"
guāng míng,光明,5,"light, illumination, radiance (esp. glory of Buddha etc), fig. bright prospects, openhearted,"
guāng pán,光盘,5,"compact disc, CD or DVD, CD ROM, CL:片,張|张[zhāng],"
guāng róng,光荣,5,"honor and glory, glorious,"
guǎng chǎng,广场,5,"public square, plaza,"
guǎng dà,广大,5,"(of an area) vast or extensive, large-scale, widespread, (of people) numerous,"
guǎng fàn,广泛,5,"extensive, wide range,"
guī ju,规矩,5,"lit. compass and set square, fig. established standard, rule, customs, practices, fig. upright and honest, well-behaved,"
guī lǜ,规律,5,"rule (e.g. of science), law of behavior, regular pattern, rhythm, discipline,"
guī mó,规模,5,"scale, scope, extent, CL:個|个[gè],"
guī zé,规则,5,"rule, regulation, rules and regulations,"
guì tái,柜台,5,"sales counter, front desk, bar, over the counter,"
gǔn,滚,5,"to boil, to roll, to take a hike, Get lost!,"
guō,锅,5,"pot, pan, boiler, CL:口,隻|只[zhī],"
guó jí,国籍,5,"nationality,"
Guó qìng jié,国庆节,5,"PRC National Day (October 1st),"
guǒ shí,果实,5,"fruit, gains,"
guò fèn,过分,5,"excessive, undue, overly,"
guò mǐn,过敏,5,"to be allergic, allergy,"
guò qī,过期,5,"to be overdue, to exceed the time limit, to expire (as in expiration date),"
hā,哈,5,"laughter, yawn,"
hǎi guān,海关,5,"customs (i.e. border crossing inspection), CL:個|个[gè],"
hǎi xiān,海鲜,5,"seafood,"
hǎn,喊,5,"to yell, to shout, to call out for (a person),"
háng yè,行业,5,"industry, business,"
háo huá,豪华,5,"luxurious,"
hào qí,好奇,5,"inquisitive, curious, inquisitiveness, curiosity,"
hé píng,和平,5,"peace,"
hé bì,何必,5,"there is no need, why should,"
hé kuàng,何况,5,"let alone, to say nothing of, besides, what's more,"
hé fǎ,合法,5,"lawful, legitimate, legal,"
hé lǐ,合理,5,"rational, reasonable, fair,"
hé tong,合同,5,"(business) contract, CL:個|个[gè],"
hé yǐng,合影,5,"joint photo, group photo,"
hé zuò,合作,5,"to cooperate, to collaborate, to work together, cooperation, CL:個|个[gè],"
hé xīn,核心,5,"core, nucleus,"
hèn,恨,5,"to hate, to regret,"
héng,横,5,"horizontal, across, (horizontal character stroke),"
hòu guǒ,后果,5,"consequences, aftermath,"
hū shì,忽视,5,"to neglect, to ignore,"
hū xī,呼吸,5,"to breathe,"
hú,壶,5,"pot, classifier for bottled liquid,"
hú dié,蝴蝶,5,"butterfly, CL:隻|只[zhī],"
hú shuō,胡说,5,"to talk nonsense, drivel,"
hú tòng,胡同,5,"variant of 胡同[hú tòng],"
hú xū,胡须,5,"beard, CL:根,綹|绺[liǔ],"
hú tu,糊涂,5,"muddled, silly, confused,"
huā shēng,花生,5,"peanut, groundnut, CL:粒[lì],"
huá bīng,滑冰,5,"to skate, skating,"
huá chuán,划船,5,"to row a boat, rowing boat, rowing (sport),"
Huá yì,华裔,5,"ethnic Chinese, non-Chinese citizen of Chinese ancestry,"
huà xué,化学,5,"chemistry, chemical,"
huà tí,话题,5,"subject (of a talk or conversation), topic,"
huái niàn,怀念,5,"to cherish the memory of, to think of, reminisce,"
huǎn jiě,缓解,5,"to blunt, to dull, to ease, to help relieve (a crisis), to alleviate (pain),"
huàn xiǎng,幻想,5,"delusion, fantasy,"
huāng zhāng,慌张,5,"confused, flustered,"
huáng guā,黄瓜,5,"cucumber, CL:條|条[tiáo],"
huáng jīn,黄金,5,"gold,"
huáng dì,皇帝,5,"emperor, CL:個|个[gè],"
huáng hòu,皇后,5,"empress, imperial consort,"
huī,灰,5,"ash, dust, lime, gray, discouraged, dejected,"
huī chén,灰尘,5,"dust,"
huī xīn,灰心,5,"to lose heart, to be discouraged,"
huī,挥,5,"to wave, to brandish, to wipe away, to command, to conduct, to scatter, to disperse,"
huī fù,恢复,5,"to reinstate, to resume, to restore, to recover, to regain, to rehabilitate,"
huì lǜ,汇率,5,"exchange rate,"
hūn lǐ,婚礼,5,"wedding ceremony, wedding,"
hūn yīn,婚姻,5,"matrimony, wedding, marriage, CL:次[cì],"
huó yuè,活跃,5,"active, vigorous,"
huǒ chái,火柴,5,"match (for lighting fire), CL:根,盒[hé],"
huǒ bàn,伙伴,5,"partner, companion, comrade,"
jī běn,基本,5,"basic, fundamental, main, elementary,"
jī qì,机器,5,"machine, CL:臺|台,部,個|个[gè],"
jī liè,激烈,5,"intense, acute, fierce,"
jī ròu,肌肉,5,"muscle, flesh,"
jí gé,及格,5,"to pass a test,"
jí máng,急忙,5,"hastily,"
jí tǐ,集体,5,"collective, social, team, CL:個|个[gè],"
jí zhōng,集中,5,"to concentrate, to centralize, to focus, centralized, concentrated, to put together,"
jì lù,记录,5,"to record, record (written account), record (in sports etc), CL:個|个[gè],"
jì yì,记忆,5,"to remember, to recall, memory, CL:個|个[gè],"
jì suàn,计算,5,"to count, to calculate, to compute, CL:個|个[gè],"
jì mò,寂寞,5,"lonely, lonesome, quiet, silent,"
jì lǐng dài,系领带,5,"to tie one's necktie,"
jì lù,纪录,5,"record,"
jì lǜ,纪律,5,"discipline,"
jì niàn,纪念,5,"to commemorate, to remember, CL:個|个[gè],"
jiā tíng,家庭,5,"family, household, CL:戶|户,個|个[gè],"
jiā wù,家务,5,"household duties, housework,"
jiā xiāng,家乡,5,"hometown, native place, CL:個|个[gè],"
jiā bīn,嘉宾,5,"esteemed guest, honored guest, guest (on a show),"
jiā zi,夹子,5,"clip, clamp, tongs, folder, wallet,"
jiǎ,甲,5,"first of the ten heavenly stems 十天干[shí tiān gān], (used for an unspecified person or thing), first (in a list, as a party to a contract etc), armor plating, shell or carapace, (of the fingers or toes) nail, bladed leather or metal armor (old), ranking system used in the Imperial examinations (old), civil administration unit (old),"
