hanzi	freq	pinyin	eng
富	50273	fu4	rich
灵	50134	ling2	alert/departed soul/efficacious/quick/effective/intelligence
协	50123	xie2	cooperate/harmonize/to help/to assist/to join
角	50081	jiao3/jue2	angle/horn/horn-shaped, Chinese musical note/angle/horn
占	49980	zhan1/zhan4	to observe/to divine, to divine, to occupy/to constitute/to make up/to account
配	49900	pei4	to join/to fit/to mate/to mix/to match/to deserve/to make up (a prescription)
征	49855	zheng1	attack/levy (troops or taxes)/journey/trip/expedition
修	49829	xiu1	to decorate/to embellish/to repair/to build/to study/to write/to cultivate
皮	49803	pi2	leather/skin/fur
挥	49702	hui1	scatter/wield/wipe away
胜	49565	sheng1/sheng4	(also sheng4) able to do/competent enough to, peptide, victorious
降	49306	jiang4/xiang2	to drop/to fall/to come down/to descend, surrender
阶	49058	jie1	rank or step/stairs
审	48862	shen3	to examine/to investigate/carefully/to try (in court)
沉	48772	chen2	submerge/immerse/sink/deep/profound/to lower/to drop
坚	48749	jian1	strong/solid/firm/unyielding/resolute
善	48739	shan4	good
妈	48622	ma1	ma/mamma
刘	48600	liu2	(surname)/to kill
读	48304	dou4/du2	comma/phrase marked by pause, to read/to study
啊	48244	a1/a2/a3/a4/a	(interj.)/ah, an interjection/to express doubt or to question/to show realization/to stress, (interj. for surprise), oh (interjection), (a modal particle showing affirmation, approval, or consent)
超	48218	chao1	to exceed/overtake/surpass/transcend/ultra-/super-/to pass/to cross
免	48044	mian3	to exempt/to remove/to avoid/to excuse
压	48038	ya1/ya4	to press/to push down/to keep under (control), in the first place/to crush
银	47955	yin2	silver
买	47788	mai3	buy
皇	47750	huang2	(surname)/emperor
养	47702	yang3	give birth/keep (pets)/to support/to bring sb. up/to raise (pig, etc.)
伊	47619	yi1	he/she/(surname)/Iraq (abbrev.)
怀	47561	huai2	to think of/to cherish/mind/heart/bosom
执	47543	zhi2	execute (a plan)/grasp
副	47520	fu4	secondary/auxiliary/deputy/assistant/vice-/(measure word for a pair)
乱	47474	luan4	in confusion/disorderly
抗	47342	kang4	to resist/to fight/to defy
犯	47098	fan4	to violate/to offend
追	47079	zhui1	pursue (a problem)/to chase
帮	47065	bang1	to assist/to support/to help/group/gang/party
宣	47041	xuan1	to declare (publicly)/to announce
佛	47038	fo2/fu2	Buddha/Buddhism, seemingly
岁	46835	sui4	year/years old/(a measure word)
航	46789	hang2	boat/ship/vessel/craft/to navigate/to sail
优	46613	you1	excellent/superior
怪	46600	guai4	queer/to blame
香	46525	xiang1	fragrant/incense/(of food) savory/appetizing/sweet/scented/popular
田	45886	tian2	(surname)/field/farm
铁	45798	tie3	iron
控	45664	kong4	to accuse/to charge/to control/to sue
税	45615	shui4	taxes/duties
左	45568	zuo3	left
右	45561	you4	right (-hand)
份	45408	fen4	(a measure word for gifts, copies of a newspaper)/copy (of newspaper, magazine, etc.)/share/portion/part/(a measure word)
穿	45314	chuan1	to bore through/pierce/perforate/penetrate/pass through/to dress/to wear/to put on/to thread
艺	45218	yi4	skill/art
背	45181	bei1/bei4	carry on one's back, to be burdened/to carry on the back or shoulder, learn by heart/the back of the body
阵	44899	zhen4	disposition of troops/short period/wave/spate/burst/spell
草	44612	cao3	grass/straw/draft (of a document)/careless/rough/manuscript/hasty
脚	44529	jiao3/jue2	a kick/foot/role, role
概	44501	gai4	general/approximate
恶	44493	e3/e4/wu4	nauseated, evil, to hate/to loathe
块	44475	kuai1/kuai4	piece/chunk/lump/(measure word for chunks, lumps), yuan (unit of currency)/fast (of a watch)/swift/rapid/happy/joyful/soon/quick/(a measure word, for cloth, cake, soap)
顿	44425	dun4	a time/jerk/stop/meal/bout/spell/(measure for beating)
敢	44338	gan3	dare
守	44264	shou3	to guard
酒	44069	jiu3	wine/liquor/spirits
岛	44056	dao3	island
托	44052	tuo1	to hold in one's hand/to entrust/to support in one's palm, entrust
央	44052	yang1	beg/center
户	43810	hu4	a household/door/family
烈	43751	lie4	ardent/intense/split/crack/rend
洋	43692	yang2	foreign/ocean
哥	43620	ge1	elder brother
索	43365	suo3	to search/to demand/to ask/to exact/large rope/isolated
胡	43199	hu2	(surname)/beard/what why how, beard/mustache
款	43087	kuan3	section/paragraph/funds
靠	42988	kao4	depend upon/lean on/near/by/against/to support
评	42966	ping2	to discuss/to comment/to criticize/to judge/to choose (by public appraisal)
版	42853	ban3	a register/a block of printing/an edition/version/page
宝	42836	bao3	a jewel or gem/a treasure/precious
座	42814	zuo4	seat/base/stand/measure word for large, solid things
释	42749	shi4	explain/to release
景	42738	jing3	bright/circumstance/scenery
顾	42735	gu4	look after/take into consideration/to attend to
弟	42706	di4	younger brother
登	42687	deng1	scale/climb/ascend/mount/go up/register/note/to publish/to issue/to record
货	42602	huo4	goods/money/commodity
互	42579	hu4	mutual
付	42527	fu4	pay
伯	42513	bo2	father's elder brother/senior/paternal elder uncle/eldest of brothers/respectful form of address
慢	42506	man4	slow
欧	42504	ou1	Europe
换	42292	huan4	change/exchange
闻	42253	wen2	(surname)/hear/sniff at
危	42080	wei1	danger/to endanger
忙	42026	mang2	busy
核	41944	he2	nuclear/atomic/stone (of fruit)
暗	41881	an4	dark/gloomy/hidden/secret, to shut the door/unilluminated
姐	41762	jie3	older sister
介	41749	jie4	introduce/lie between/between
坏	41723	huai4	bad/spoiled, bad
讨	41717	tao3	ask for/send punitive expedition/to demand/to marry
丽	41363	li2/li4	Korea, beautiful
良	41167	liang2	good/very/very much
序	41129	xu4	order/sequence/preface
升	41105	sheng1	to raise/to hoist/to promote/pint, ascend/peaceful, promoted
监	41082	jian1/jian4	hard/strong/solid/firm/to supervise/to inspect/jail/prison, supervisor
临	41068	lin2	to face/to overlook/to arrive/to be (just) about to/just before
亮	41016	liang4	light/bright
露	40954	lu4/lou4	to show/to reveal/to expos/dew
永	40936	yong3	forever/always/perpetual (ly)
呼	40709	hu1	to call/to cry/to shout/to breath out/to exhale
味	40704	wei4	taste
野	40681	ye3	field/plain/open space/limit/boundary/rude/wild
架	40619	jia4	to support/frame/rack/framework/measure word for planes, large vehicles, radios, etc.
域	40597	yu4	field/region/area/domain (taxonomy)
沙	40573	sha1	granule/hoarse/raspy/sand/powder
掉	40541	diao4	to drop/to fall
括	40519	kuo4	enclose/include
舰	40500	jian4	warship
鱼	40452	yu2	fish
杂	40265	za2	mixed/miscellaneous/various/to mix
误	40196	wu4	mistake/error/to miss/to harm/to delay/to neglect
湾	40101	wan1	bay/gulf
吉	40081	ji2	lucky
减	40011	jian3	to lower/to decrease/to reduce/to subtract/to diminish
编	39879	bian1	weave/plait/organize/group/arrange/edit/compile/write/compose/fabricate
楚	39846	chu3	(surname)/ancient place name/distinct/clear/orderly/pain/suffering/(a surname)
肯	39813	ken3	to agree/to consent/to be ready (to do sth)/willing
测	39752	ce4	side/to lean/to survey/to measure/conjecture
败	39627	bai4	be defeated/to defeat/loss
屋	39588	wu1	house/room
跑	39497	pao3	to run/to escape
梦	39486	meng4	to dream
散	39336	san3/san4	leisurely/loosen/powdered medicine/to scatter/to come loose, adjourn/scatter
温	39312	wen1	(luke)warm/to review
困	39172	kun3/kun4	a bunch/tie together, distress/sleepy/doze off, sleepy/doze off
剑	39020	jian4	(double-edged) sword
渐	39010	jian1/jian4	imbue, gradual/gradually
封	38954	feng1	to confer/to grant/to seal/(a measure word)
救	38824	jiu4	to save/to assist/to rescue
贵	38668	gui4	expensive/noble/your (name)/precious
枪	38569	qiang1	gun/firearm/rifle/spear, rifle/spear
缺	38506	que1	lack/scarce/vacant post/to run short of
楼	38463	lou2	house with more than 1 story/storied building/floor
县	38407	xian4	a district/county
尚	38376	shang4	still/yet/to value/to esteem
毫	38374	hao2	hair/drawing brush/(in the) least/one thousandth
移	38349	yi2	to move/to shift/to change/to alter/to remove
娘	38274	niang2	mother/young lady, mother/troubled
朋	38271	peng2	friend
画	38263	hua4	draw/picture/painting
班	38130	ban1	team/class/rank/squad/a work shift/a measure word/(a surname)
智	38064	zhi4	wisdom/knowledge
亦	37960	yi4	also
耳	37939	er3	ear
恩	37898	en1	kind act (from above)
短	37834	duan3	lack/short
掌	37729	zhang3	in charge of/palm of hand
恐	37676	kong3	afraid/frightened/to fear
遗	37619	yi2	to lose/to leave behind
固	37582	gu4	hard/strong/solid/sure
席	37579	xi2	banquet/woven mat/seat/place, woven mat
松	37563	song1	loose/pine, loose
秘	37560	mi4	secret
谢	37550	xie4	(surname)/to thank
鲁	37474	lu3	crass/place name
遇	37343	yu4	meet with
康	37302	kang1	peaceful/spongy (of radishes)
虑	37208	lu:4/lv4	anxiety
幸	37198	xing4	lucky, fortunate/lucky
均	36842	jun1	equal/even/all/uniform
销	36821	xiao1	to melt/to do away with/to sell
钟	36770	zhong1	clock/time as measured in hours and minutes/bell
诗	36762	shi1	poem/poetry/verse
藏	36704	cang2/zang4	to hide away/to conceal/to harbor/store/accumulate, storehouse/depository/Buddhist or Taoist scripture/Zang/Tibet
赶	36599	gan3	to catch up/to overtake/to hurry/to rush/to drive away
剧	36585	ju4	drama/play/show/severe
票	36459	piao4	bank note/ticket
损	36444	sun3	to damage/injure/to lose/to harm
忽	36378	hu1	suddenly
巨	36351	ju4	very large/huge/tremendous/gigantic
炮	36315	pao4	cannon/gun/firecracker, gun/cannon
旧	36291	jiu4	old (opposite of new)/former
端	36233	duan1	end/extremity/item/port/to hold sth. level with both hands/to carry/regular
探	36230	tan4	to explore/to search out/to scout/to visit
湖	36112	hu2	lake
录	36080	lu4	to record/to hit/to copy
叶	36032	ye4	(surname)/leaf/page
春	36027	chun1	spring (time)/gay/joyful/youthful/love/lust/life
乡	36025	xiang1	country/village
附	35955	fu4	to add/to attach/to be close to/to be attached
吸	35891	xi1	to breathe/to suck in/to absorb/to inhale
予	35757	yu2/yu3	I, to give
礼	35612	li3	gift/propriety/rite
港	35577	gang3	harbor/Hong Kong (abbr.)
雨	35370	yu3	rain
呀	35343	ya/ya1	(final part.)
板	35332	ban3	board/plank/plate/slab, boss
庭	35205	ting2	court/courtyard
妇	35188	fu4	woman
归	35153	gui1	to go back/to return
睛	35082	jing1	eye
饭	35076	fan4	food/cuisine/cooked rice/meal
额	34823	e2	volume/amount/quantity/forehead/quota
含	34759	han2	to keep/to contain
顺	34708	shun4	to obey/to follow/to arrange/to make reasonable/along/favorable
输	34688	shu1	to transport/to lose
摇	34635	yao2	shake/to rock
招	34625	zhao1	provoke/to recruit
婚	34610	hun1	to marry/marriage/wedding/to take a wife
脱	34548	tuo1	to shed/to take off/to escape/to get away from
补	34542	bu3	to repair/to patch/to mend/to make up for/to fill (a vacancy)/to supplement
谓	34527	wei4	speak of
督	34523	du1	supervise
毒	34517	du2	poison/narcotics
油	34469	you2	oil/sly
疗	34467	liao2	to treat/to cure
旅	34384	lu:3/lv3	trip/travel
泽	34311	ze2	beneficence/marsh
材	34237	cai2	material
灭	34135	mie4	extinguish
逐	34128	zhu2	to pursue/to chase/individually/one by one
莫	34097	mo4	do not/there is none who
笔	34057	bi3	pen/pencil/writing brush/to write or compose/the strokes of Chinese characters
亡	33917	wang2	to die/to perish
鲜	33720	xian1/xian3	fresh, few/rare
词	33669	ci2	works/phrases/classical Chinese poem/word/diction
圣	33620	sheng4	holy/sacred/saint/sage
择	33615	ze2/zhai2	to select/to choose/to pick, pick over
寻	33469	xun2	to search/to look for/to seek
厂	33468	chang3	cliff/slope/factory/yard/depot/workhouse/works/(industrial) plant
睡	33420	shui4	to sleep
博	33366	bo2	extensive/ample/rich/obtain/aim/to win/to get/rich/plentiful/to gamble
勒	33228	le4/lei1	rein in, strangle
烟	33137	yan1	cigarette/tobacco/smoke
授	33017	shou4	to teach/to instruct/to award/to give
诺	32991	nuo4	to promise/to yes
伦	32822	lun2	human relationship
岸	32807	an4	bank/shore/beach/coast
奥	32761	ao4	obscure/mysterious
唐	32757	tang2	Tang dynasty (618-907)
卖	32694	mai4	to sell
俄	32638	e2	suddenly/very soon/Russian
炸	32540	zha2/zha4	fry, explode
载	32456	zai3/zai4	year, to carry/to convey/to load/to hold/and/also/as well as/simultaneously
洛	32431	luo4	(surname)/name of a river
健	32399	jian4	healthy
堂	32367	tang2	(main) hall/large room
旁	32268	pang2	beside/one side/other/side/self
宫	32179	gong1	palace
喝	32112	he1/he4	my goodness/to drink, shout applause
借	32027	jie4	to lend/to borrow/excuse/pretext/by means of
君	31960	jun1	monarch/lord/gentleman/ruler
禁	31951	jin1/jin4	endure, to prohibit/to forbid
阴	31936	yin1	(of weather) overcast/Yin/feminine/moon/cloudy/negative (electric.)/shady
园	31925	yuan2	garden
谋	31910	mou2	to plan/seek/scheme
宋	31748	song4	(surname)/name of a dynasty
避	31731	bi4	avoid/shun/flee/escape/leave/to keep away/to leave/to hide
抓	31675	zhua1	to grab/to catch/to arrest/to snatch
荣	31662	rong2	glory/honored
姑	31647	gu1	paternal aunt
孙	31506	sun1	grandson
逃	31468	tao2	to escape/to run away/to flee
牙	31466	ya2	tooth/ivory
束	31370	shu4	bunch/(a measure word)/to bind/to control
跳	31324	tiao4	jump/hop/skip (a grade)/to leap/to bounce/to beat
顶	31318	ding3	"go against/most/peak/top/to replace/to substitute/a measure word (use with ""hat"")"
玉	31279	yu4	jade
镇	31170	zhen4	composed/small town/to suppress/to press down/to post
雪	30997	xue3	snow
午	30985	wu3	11 a.m.-1 p.m./7th earthly branch/noon
练	30963	lian4	to practice/to train/to perfect (one's skill)/to drill
迫	30930	po4	to force/to compel/pressing/urgent
爷	30930	ye2	grandpa/etc./old gentleman
篇	30894	pian1	sheet/piece of writing/(a measure word)/chapter/article
肉	30820	rou4	meat/flesh
嘴	30765	zui3	mouth
馆	30564	guan3	house/establishment
遍	30545	bian4	a time/everywhere/turn/all over/one time
凡	30533	fan2	ordinary/every/all/whatever/worldly
础	30477	chu3	foundation/base
洞	30399	dong4	cave/hole
卷	30343	juan3/juan4	to roll (up)/to sweep up/to carry on, coil/to roll, chapter/examination paper
坦	30341	tan3	flat/open-hearted/level/smooth
牛	30047	niu2	ox/cow/bull
宁	30001	ning2	peaceful/rather
纸	30001	zhi3	paper
诸	29957	zhu1	(surname)/all/many/various
训	29911	xun4	example/pattern/to teach/to train/instruction
私	29700	si1	personal/private/selfish
庄	29679	zhuang1	farm/village
祖	29644	zu3	ancestor/forefather/grandparents
丝	29585	si1	silk/thread/trace
翻	29568	fan1	flit about/translate/turn over
暴	29566	bao4	sudden/violent/cruel/to show or expose/to injure
森	29533	sen1	forest
塔	29454	ta3	pagoda/tower
默	29432	mo4	silent/write from memory
握	29418	wo4	shake hands/to hold/to grasp
戏	29402	xi4	trick/drama/play/show
隐	29294	yin3	secret/hidden/concealed
熟	29271	shu2	familiar/skilled/ripe/done/ripe/cooked
骨	29180	gu3	bone
访	29134	fang3	inquire/seek/visit
弱	29129	ruo4	weak/feeble/young/inferior
蒙	29019	meng1/meng2/meng3	deceive/cheat/hoodwink, drizzle/mist, dim sighted/ignorant, Mongolia/cover
歌	28957	ge1/ge1ge	song
店	28926	dian4	inn/shop/store
鬼	28916	gui3	ghost/sly/crafty
软	28885	ruan3	soft/flexible
典	28860	dian3	canon/dictionary
欲	28856	yu4	desire/wish, desire/longing/appetite/wish
萨	28804	sa4	(surname)/Bodhisattva
伙	28724	huo3	assistant/furniture/partner
遭	28642	zao1	a time/incident/meet by chance/turn
盘	28582	pan2	big/wooden tray, dish/tray/to build/to check/to examine/to transfer/(a measure word used for dishes of food or coils of wire)/to coil
爸	28526	ba4	father/dad/pa/papa
扩	28331	kuo4	enlarge
盖	28310	gai4/ge3	lid/top/cover/canopy/to build, (surname)
弄	28205	long4/nong4	lane/alley, to do/to manage/to handle/to play with/to fool with/to mess with/to fix/to toy with
雄	28184	xiong2	heroic/male
稳	28031	wen3	settled/steady/stable
忘	27961	wang4	to forget/to overlook/to neglect
亿	27897	yi4	a hundred million/calculate
刺	27891	ci4	thorn/sting/prick/pierce/stab/thrust/assassinate/murder
拥	27833	yong1	(v) gather round/rush in/crowd/throng/to hold/crowded/to support
徒	27812	tu2	apprentice/disciple
姆	27808	mu3	governess
杨	27561	yang2	(surname)/poplar
齐	27480	qi2	(surname)/even/to make even
赛	27472	sai4	to compete/competition/match
趣	27434	qu4	interesting/to interest
曲	27401	qu1/qu3	bent/crooked/wrong, tune/song
刀	27292	dao1	knife
床	27283	chuang2	bed/couch/(a measure word)
迎	27228	ying2	to welcome
冰	27201	bing1	ice
虚	27076	xu1	devoid of content/void/false/empty/vain
玩	27043	wan2/wan4	curios/antiques/to play/to amuse oneself, curios/antiques
析	27019	xi1	to separate/to divide/to analyze
窗	26978	chuang1	shutter/window
醒	26899	xing3	to wake up/to be awake
妻	26847	qi1/qi4	wife, to marry off (a daughter)
透	26836	tou4	to penetrate/thorough/penetrating/to pass through/to pierce
购	26803	gou4	to buy/to purchase
替	26687	ti4	to substitute for/to take the place of/to replace/for/on behalf of/to stand in for
塞	26590	sai1/sai4/se4	stop up/to squeeze in/to stuff/Serb (abbr.)/Serbian, strategic pass, piston/unenlightened
努	26564	nu3	to exert/to strive
休	26539	xiu1	to rest
虎	26514	hu3	tiger
扬	26509	yang2	hurl/to raise/to scatter
途	26485	tu2	way/route/road
侵	26466	qin1	to invade/to infringe/to approach
刑	26453	xing2	punishment
绿	26414	lu:4/lv4	green/chlorine
兄	26386	xiong1	elder brother
迅	26321	xun4	rapid
套	26301	tao4	to cover/covering/case/cover/(a measure word, a set of something)/sheath
贸	26198	mao4	commerce/trade
毕	26148	bi4	the whole of/to finish/to complete/complete/full/finished
唯	26041	wei2/wei3	-ism/only/alone, yes
谷	26005	gu3/yu4	grain/corn, valley, (surname)
轮	25958	lun2	wheel/gear/(by) turn/rotate
库	25924	ku4	warehouse/storehouse
迹	25920	ji1/ji4	footprint/mark/trace/vestige/sign/indication, footprint/trace
尤	25908	you2	outstanding/particularly/especially
竞	25897	jing4	to compete/to contend/to struggle
街	25866	jie1	street
促	25792	cu4	to hurry/to rush/to hasten/near/to promote
延	25768	yan2	to prolong/to extend/to delay
震	25746	zhen4	shake/shock/sign in trigram
弃	25730	qi4	abandon/relinquish/to discard/to throw away
甲	25620	jia3	"A (in a sequence of examples involving ""A"", ""B"", ""C"", etc.)/1st heavenly stem/1st in order/armor"
伟	25591	wei3	big/large/great
麻	25584	ma2	(to have) pins and needles/tingling/hemp/numb/to bother
川	25575	chuan1	river/creek/plain/an area of level country
申	25531	shen1	(surname)/3-5 p.m./9th earthly branch/extend/to state/to explain
缓	25455	huan3	slow/sluggish/gradual/to postpone
潜	25452	qian2	hidden/latent/secret/to hide/to conceal/secret/hidden/to submerge
闪	25427	shan3	flash/lightning
售	25405	shou4	to sell
灯	25401	deng1	lamp/light
针	25384	zhen1	injection/needle/pin, needle
哲	25353	zhe2	philosophy/wise
络	25256	lao4/luo4	small net, net-like
抵	25228	di3	hold up/on the whole/push against/to support/to resist/to reach/to arrive/mortgage
朱	25195	zhu1	(surname)/vermilion, vermilion
埃	25101	ai1	dirt/dust/angstrom
抱	25069	bao4	to hold/to carry (in one's arms)/to hug or embrace/surround/cherish
鼓	25016	gu3	convex/drum/to rouse/to beat
植	24999	zhi2	to plant
纯	24890	chun2	pure/simple/unmixed/genuine
夏	24888	xia4	summer/Xia (proper name)
忍	24862	ren3	to beat/to endure/to tolerate
页	24861	ye4	page/leaf
杰	24796	jie2	hero/heroic
筑	24780	zhu2/zhu4	build/five-string lute
折	24737	she2/zhe2	broken (as of rope, stick), tenth (in price)/to break/to fold/to turn
郑	24716	zheng4	(surname)
贝	24675	bei4	cowries/shell/valuables/shellfish
尊	24662	zun1	to honor
吴	24632	wu2	(surname)/province of Jiangsu
秀	24620	xiu4	handsome/elegant
混	24605	hun2/hun4	confused/dirty/mix, to mix/to get along/thoughtless
臣	24553	chen2	statesman/vassal/courtier/minister/official
雅	24527	ya3	elegant
振	24469	zhen4	rouse
染	24444	ran3	to catch (a disease)/dye
盛	24387	cheng2/sheng4	to hold/contain/to ladle/pick up with a utensil, (surname)/flourishing
怒	24374	nu4	indignant
舞	24360	wu3	to dance/to wield/to brandish
圆	24267	yuan2	circle/round/circular/spherical/(of the moon) full/unit of Chinese currency (Yuan)/tactful/to justify
搞	24265	gao3	to do/to make/to go in for/to set up/to get hold of/to take care of
狂	24259	kuang2	conceited/mad
措	24172	cuo4	put in order/arrange/administer/execute/take action on
姓	24142	xing4	surname/family name/name
残	24030	can2	destroy/spoil/ruin/injure/cruel/oppressive/savage/incomplete/disabled
秋	24030	qiu1	autumn/fall/harvest time/a swing, a swing
培	24009	pei2	to cultivate/to earth up
迷	23959	mi2	bewilder/crazy about/fan/enthusiast/lost/confused
诚	23947	cheng2	honest/sincere/true
宽	23918	kuan1	lenient/wide/broad
宇	23891	yu3	room/universe
猛	23862	meng3	ferocious/suddenly/fierce/violent/abrupt
摆	23853	bai3	pendulum/to place/to display/to swing/to oscillate/to show/to move/to exhibit
梅	23824	mei2	plum flower
毁	23773	hui3	to destroy/to damage/to ruin, blaze/destroy by fire, defame/to slander
伸	23732	shen1	to stretch/to extend
摩	23645	mo2	rub
盟	23581	meng2	oath/pledge/union/to ally
末	23526	mo4	end/final stage/latter part
乃	23520	nai3	to be/thus/so/therefore/then/only/thereupon
悲	23500	bei1	sad/sadness/sorrow/grief
拍	23483	pai1	to clap/to pat/to beat/to hit/to slap/to take (a picture)
丁	23479	ding1	(surname)/4th heavenly stem/a Chinese surname
赵	23428	zhao4	(surname)
硬	23364	ying4	hard/stiff/strong/firm
麦	23271	mai4	(surname)/wheat/barley/oats
蒋	23237	jiang3	(surname)
操	23193	cao1	to hold/to drill/to exercise/to act/to do/to take in hand/to keep/to manage
耶	23175	ye1	(final part.)/(phonetic)
阻	23151	zu3	to hinder/to block/to obstruct
订	22991	ding4	to agree/to conclude/to draw up/to subscribe to (a newspaper, etc.)/to order
彩	22982	cai3	(bright) color/variety/applause/applaud/(lottery) prize, colored/variegated
抽	22937	chou1	to draw out/to smoke (cigarettes)/to pump
赞	22909	zan4	to praise, to patronize/to support/to praise
魔	22835	mo2	devil
纷	22820	fen1	numerous/confused/disorderly
沿	22781	yan2/yan4	along, riverside (with -r)
喊	22779	han3	call/cry/to shout
违	22751	wei2	to disobey/to violate/to separate/to go against
妹	22723	mei4	younger sister
浪	22639	lang4	wave/breaker/unrestrained/dissipated
汇	22608	hui4	remit/to converge (of rivers)/to exchange, class/collection
币	22592	bi4	money/coins/currency
丰	22439	feng1	buxom/good-looking/appearance and carriage of a person, (surname)/abundant/plentiful/great
蓝	22437	la/lan2	kohlrabi, blue
殊	22407	shu1	unique
献	22396	xian4	to offer
桌	22336	zhuo1	table
啦	22263	la1/la	(onomat.)/(phonetic), (an auxiliary word performing the grammatical functions of mood)/fusion of le + a
瓦	22229	wa3	tile
莱	22187	lai2	Chenopodium album
援	22180	yuan2	to help/to assist/to aid
译	22170	yi4	to translate/to interpret
夺	22148	duo2	rob/snatch
汽	22098	qi4	steam/vapor
烧	22078	shao1	to burn/to cook/to stew/to bake/to roast/fever
距	21970	ju4	at a distance of/distance/to be apart
裁	21918	cai2	cut out (as a dress)/cut/trim/reduce/diminish/decision/judgment
偏	21877	pian1	one-sided/to lean/to slant/prejudiced/inclined to one side
符	21862	fu2	mark/sign/talisman/to seal/to correspond (to)/tally/symbol/written charm/to coincide
勇	21819	yong3	brave
触	21719	chu4	knock against/touch/to feel
课	21705	ke4	subject/class/lesson
敬	21646	jing4	to respect/to venerate/to salute/to offer
哭	21444	ku1	to cry/to weep
懂	21117	dong3	to understand/to know
墙	21101	qiang2	wall
袭	21098	xi2	inherit/raid/suit of clothes
召	21098	shao4/zhao4	(surname)/name of an ancient state, to call together/to summon/to convene
罚	21011	fa2	to punish/to penalize
侠	20999	xia2	heroic
厅	20989	ting1	(reception) hall/office
拜	20978	bai4	to pay respect/worship/visit/salute
巧	20964	qiao3	opportunely/coincidentally/as it happens/skillful/timely
侧	20960	ce4/zhai1	the side/to incline towards/to lean/inclined/lateral/side, lean on one side
韩	20947	han2	South Korea/Korean/Japan-annexed Korea
冒	20917	mao4	brave/bold/to cover
债	20902	zhai4	debt
曼	20897	man4	handsome/large/long
融	20883	rong2	harmonious/melt/mild
惯	20880	guan4	accustomed to/used to
享	20830	xiang3	enjoy
戴	20826	dai4	to put on/to respect/to bear/to support/wear (glasses, hat, gloves)
童	20813	tong2	(surname)/boy/child/children
犹	20747	you2	Jew/as if/still/to scheme
乘	20731	cheng2	ride/mount/make use of/take advantage of/multiply/to avail of/to ride
挂	20706	gua4	hang/suspend, to hang/to put up/to suspend
奖	20690	jiang3	prize/award/encouragement
绍	20681	shao4	connect/to introduce
厚	20624	hou4	generous/thick (for flat things)
纵	20599	zong1/zong4	vertical, even if/release
障	20503	zhang4	to block/to hinder/to obstruct
讯	20488	xun4	to question/to ask/to interrogate/rapid/speedy/fast/news/information
涉	20482	she4	involve/concern/wade/to experience
彻	20461	che4	pervade/penetrate/pass through/thorough/penetrating
刊	20458	kan1	to print/publish
丈	20372	zhang4	ten feet
爆	20340	bao4	to crack/to explode or burst
乌	20291	wu1	a crow/black
役	20254	yi4	service
描	20247	miao2	depict/to trace (a drawing)/to copy/to touch up
洗	20229	xi3	to wash/to bathe
玛	20207	ma3	agate/cornelian
患	20203	huan4	misfortune/suffer (from illness)/trouble/danger/worry/to contract (a disease)
妙	20165	miao4	clever/wonderful
镜	20100	jing4	mirror
唱	20085	chang4	sing/to call loudly/to chant
烦	20076	fan2	feel vexed/to bother
签	20057	qian1	sign one's name, a note/a stick/sign one's name
仙	20051	xian1	immortal
彼	20021	bi3	that/those/(one) another)
弗	19905	fu2	not
症	19878	zheng1/zheng4	obstruction of bowels, disease/illness
仿	19870	fang3	to imitate/to copy, imitate, seemingly
倾	19849	qing1	to overturn/to collapse/to lean/to tend/to incline/to pour out
牌	19752	pai2	cards/game pieces/signboard/plate/tablet
陷	19703	xian4	to fall/trap
鸟	19698	niao3	bird
轰	19670	hong1	explosion/bang/boom/rumble/strike (by thunder or a bomb)
咱	19554	za2/zan2	we (incl.), we (incl.)
菜	19516	cai4	dish (type of food)/vegetables
闭	19515	bi4	to close/stop up/shut/obstruct
奋	19499	fen4	exert oneself
庆	19487	qing4	celebrate
撤	19485	che4	remove/take away/withdraw
泪	19411	lei4	tears
茶	19404	cha2	tea/tea plant
疾	19402	ji2	sickness/disease/hate/envy
缘	19330	yuan2	along/predestined affinity/reason/edge
播	19327	bo1	sow/scatter/spread/broadcast
朗	19288	lang3	clear/bright
杜	19246	du4	(surname)/fabricate/restrict/to prevent
奶	19219	nai3	breast/lady/milk
季	19211	ji4	season/period
丹	19171	dan1	red/pellet/powder/cinnabar
狗	19093	gou3	dog
尾	19076	wei3	tail
仪	19064	yi2	apparatus/rites/appearance/present/ceremony
偷	19006	tou1	to steal/to pilfer
奔	18989	ben1/ben4	to hurry or rush/to run quickly/to elope, go to/towards
珠	18916	zhu1	bead/pearl
虫	18909	chong2	insect/worm, an animal/an invertebrate/a worm/an insect
驻	18901	zhu4	resident in/stationed in/located at/to station (troops)
孔	18890	kong3	(surname)/hole
宜	18833	yi2	proper/should/suitable/appropriate
艾	18825	ai4	(surname)/Artemisia vulgaris/Chinese mugwort
桥	18815	qiao2	bridge
淡	18779	dan4	insipid/diluted/weak/light in color/tasteless/fresh/indifferent/nitrogen
翼	18710	yi4	wing
恨	18702	hen4	to hate
繁	18699	fan2	complicated/many/in great numbers
寒	18684	han2	cold/poor/to tremble
伴	18678	ban4	a partner/companion or associate/to accompany/comrade
叹	18587	tan4	to sigh
旦	18569	dan4	dawn/morning/day-break/day
愈	18540	yu4	heal/the more...the more/to recover/better, heal
潮	18532	chao2	tide/current/damp/moist/humid
粮	18528	liang2	provisions
缩	18495	suo1	to withdraw/to pull back/to contract/to shrink/to reduce
