hanzi	freq	pinyin	eng
而	649239	er2	and/as well as/but (not)/yet (not)/(shows causal relation)/(shows change of state)/(shows contrast)
子	640640	zi3/zi	11 p.m.-1 a.m./1st earthly branch/child/midnight/son/child/seed/egg/small thing, (noun suff.)
那	638538	na3/na4/nei4	how/which, that/those, that/those/(sometimes used before a measure word, especially in Beijing)
得	630688	de2/de/dei3	obtain/get/gain/proper/suitable/proud/contented/allow/permit/ready/finished, a sentence particle used after a verb to show effect/degree or possibility, to have to/must/ought to/to need to
于	630524	yu2	(surname), in/at/to/from/by/than/out of
着	626326	zhao1/zhao2/zhe/zhu4/zhuo2	catch/receive/suffer, part. indicates the successful result of a verb/to touch/to come in contact with/to feel/to be affected by/to catch fire/to fall asleep/to burn, -ing part. (indicates an action in progress)/part. coverb-forming after some verbs, to make known/to show/to prove/to write/book/outstanding, to wear (clothes)/to contact/to use/to apply
下	621185	xia4	under/second (of two parts)/next (week, etc.)/lower/below/underneath/down(wards)/to decline/to go down/latter
自	611687	zi4	from/self/oneself/since
之	609003	zhi1	(literary equivalent of 的)/(subor. part.)/him/her/it
年	601887	nian2	year
过	589925	guo4	(experienced action marker)/to cross/to go over/to pass (time)/to celebrate (a holiday)/to live/to get along/(surname)/excessively/too-
发	572904	fa1/fa4	to send out/to show (one's feeling)/to issue/to develop, hair
后	570764	hou4	empress/queen/surname, back/behind/rear/afterwards/after/later
作	542791	zuo4	to regard as/to take (somebody) for/to do/to make
里	537795	li3	inside/internal/interior, village/within/inside, Chinese mile/neighborhood/li, a Chinese unit of length = one-half kilometer/hometown
用	535480	yong4	to use
道	534695	dao4	direction/way/method/road/path/principle/truth/reason/skill/method/Tao (of Taoism)/a measure word/to say/to speak/to talk
行	531848	hang2/xing2/xing4	a row/profession/professional, all right/capable/competent/OK/okay/to go/to do/to travel/temporary/to walk/to go/will do, behavior/conduct
所	523028	suo3	actually/place
然	511026	ran2	correct/right/so/thus/like this/-ly
家	509790	jia1	furniture/tool, -ist/-er/-ian/home/family/a person engaged in a certain art or profession
种	503344	zhong3/zhong4	kind/type/race/breed/seed/species (taxonomy), to plant/to cultivate
事	499172	shi4	matter/thing/item/work/affair
成	499007	cheng2/cheng4	finish/complete/accomplish/become/turn into/win/succeed/one tenth, finish/complete/accomplish/become/turn into/win/succeed/one tenth
方	492763	fang1	square/quadrilateral/direction/just
多	481689	duo1	many/much/a lot of/numerous/multi-
经	481338	jing1	classics/sacred book/pass through/to undergo/scripture
么	477969	ma/me/yao1	(interrog. part.), (interrog. suff.), one on dice/small
去	476270	qu4	to go/to leave/to remove
法	466816	fa3	law/method/way/Buddhist teaching/Legalist/France (abbrev.)
学	464261	xue2	learn/study/science/-ology
如	449036	ru2	as (if)/such as
都	439568	dou1/du1	all/both (if two things are involved)/entirely (due to)each/even/already, (surname)/metropolis/capital city
同	437611	tong2	like/same/similar/together/alike/with
现	433960	xian4	appear/present/now/existing/current
当	429274	dang1/dang4	to be/to act as/manage/withstand/when/during/ought/should/match equally/equal/same/obstruct/just at (a time or place)/on the spot/right/just at, at or in the very same.../to pawn/suitable/adequate/fitting/proper/replace/represent
没	428146	mei2/mo4	(negative prefix for verbs)/have not/not, drowned/to end/to die/to inundate
动	426839	dong4	to use/to act/to move/to change
面	425180	mian4	fade/side/surface/aspect/top/face/flour/noodles, flour/noodles
起	424933	qi3	to rise/to raise/to get up
看	424616	kan1/kan4	to look after/to take care of/to watch/to guard, it depends/think/to see/to look at
定	422538	ding4	to set/to fix/to determine/to decide/to order
天	419884	tian1	day/sky/heaven
分	419382	fen1/fen4	to divide/minute/(a measure word)/(a unit of length = 0.33 centimeter), part
还	415855	hai2/huan2/huan4	also/in addition/more/still/else/still/yet/(not) yet, (surname)/pay back/return
进	412166	jin4	advance/enter/to come in
好	411866	hao3/hao4	good/well, be fond of
小	410987	xiao3	small/tiny/few/young
部	403066	bu4	ministry/department/section/part/division/troops/board/(a measure word)/(a measure word for works of literature, films, machines, etc.)
其	403028	qi2	his/her/its/theirs/that/such/it (refers to sth preceding it)
些	400528	xie1	some/few/several/(a measure word)
主	399693	zhu3	to own/to host/master/lord/primary
样	398149	yang4	manner/pattern/way/appearance/shape
理	398087	li3	reason/logic/science/inner principle or structure
心	392228	xin1	heart/mind
她	388612	ta1	she
本	388118	ben3	roots or stems of plants/origin/source/this/the current/root/foundation/basis/(a measure word)
前	381431	qian2	before/in front/ago/former/previous/earlier/front
开	377012	kai1	open/operate (vehicle)/start
但	374459	dan4	but/yet/however/only/merely/still
因	371612	yin1	cause/reason/because
只	370059	qi2/zhi1/zhi3	earth-spirit/peace, (a measure word, for birds and some animals, etc.)/single/only, M for one of a pair, only/merely/just/but, but/only
从	369958	cong1/cong2/zong4	lax/yielding/unhurried, from/obey/observe/follow, second cousin
想	368819	xiang3	to think/to believe/to suppose/to wish/to want/to miss
实	368494	shi2	real/true/honest/really/solid
日	363763	ri4	Japan/day/sun/date/day of the month
军	362526	jun1	army/military/arms
者	360974	zhe3	-ist, -er (person)/person (who does sth)
意	360232	yi4	idea/meaning/wish/desire/(abbr.) Italy
无	359265	wu2	-less/not to have/no/none/not/to lack/un-
力	359136	li4	power/force/strength
它	346173	ta1	it
与	345532	yu2/yu3/yu4	(interrog. part.), and/to give/together with, take part in
长	342148	chang2/zhang3	length/long/forever/always/constantly, chief/head/elder/to grow/to develop
把	340730	ba3/ba4	(a measure word)/(marker for direct-object)/to hold/to contain/to grasp/to take hold of, handle
